"","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22","23"
"B",9905,9961,9607,10711,11408,9526,8382,8150,7748,9067,16297,11068,7678,7938,6573,7624,7383,6783,6135,5667,4935,3799
"C",12756,16173,14712,14135,14021,11994,13974,13702,14505,13638,16619,15762,12540,12966,13657,11516,11062,10861,10818,12090,9953,10597
"D",15017,14046,17621,16646,18140,18590,16007,15691,16104,17408,16265,15798,13253,15160,12727,11282,11029,13444,14902,13467,12100,15115
"E",16399,18322,18522,16372,18996,19981,18521,27436,19710,20636,17559,18869,15967,16276,14684,17786,17242,17206,18438,16454,18230,16531
"F",15124,16209,15008,14536,17546,15079,17489,17741,16902,16672,15453,12489,14131,13225,13091,14807,12922,15083,14371,16996,14360,12947
"G",16329,15646,17369,16694,14129,18351,20266,17545,18704,18823,14179,16737,16521,16283,17838,16062,17033,19072,18149,18470,17681,18581
"H",16810,14911,14398,15873,17404,18849,15865,16430,16825,16656,13615,18621,15983,17767,18299,18283,17926,17234,18343,20098,19927,19308
"I",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14396,19379,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"J",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,19031,17423,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"K",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,18958,19733,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"L",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,18573,13582,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"M",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,18956,16836,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"N",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,16388,18750,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"O",18531,NA,NA,NA,NA,NA,NA,NA,NA,NA,19078,16167,19730,NA,NA,NA,NA,NA,NA,NA,NA,NA
