"","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22","23","24"
"A",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,28120,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"B",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,23504,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"C",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30768,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"D",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,32204,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"E",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,33208,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"F",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30060,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"G",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,34360,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"H",34172,32484,32612,34548,32296,34544,34720,35248,31344,31260,32508,29668,32688,32600,28144,31576,34440,38128,33312,33708,33760,35920,40268,39660
"I",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,27732,NA,30044,31972,29052,35728,31828,29724,20144,11732,10004,NA,NA
"J",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30352,32588,37516,35848,32584,33488,34572,26428,21960,15292,13076,NA,NA
"K",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,35656,38240,37528,33024,32072,32372,33512,33548,21692,15644,11020,NA,NA
"L",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,38548,33292,36204,32240,35624,34132,36336,29484,22404,14504,10028,NA,NA
"M",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,35700,28816,27052,32268,31072,29972,31804,27264,22432,12304,9084,NA,NA
"N",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30092,28136,28048,28596,29268,29236,27132,27360,23288,12292,11232,NA,NA
"O",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,33964,29084,25196,28948,28072,27940,26096,27164,19324,13136,9696,NA,NA
"P",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,44736,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
