"","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22","23","24"
"A",440,NA,127960,1160,126160,78640,144840,87440,1320,168400,22240,100920,144120,159400,1320,43080,41600,43760,45520,25760,1400,94240,125560,138840
"B",99480,1040,144200,136480,1480,12400,177120,159960,NA,113160,5400,136840,116320,158200,110200,1480,97200,1560,72160,135080,145760,134600,106120,137720
"C",8520,98680,1600,1440,6080,149920,4960,93960,102840,136000,4400,123880,1840,161400,66040,30400,78120,163800,151200,87720,142480,118600,151480,22680
"D",NA,1000,1600,167360,160400,4720,100200,105240,1440,1440,166840,70520,4040,165600,4360,24040,141240,51400,3400,127960,155040,160760,106440,133520
"E",159920,1360,149280,106720,91880,2160,161520,108160,37160,42080,44160,155480,107800,138640,1840,51400,158920,1840,1800,11520,147280,2640,1760,760
"F",125960,1480,NA,74560,150360,143680,2120,71720,6800,1720,122440,50600,169440,63520,96560,155040,104920,156200,NA,NA,162720,94960,148080,1080
"G",155360,96960,NA,155640,2160,101440,50080,164480,159400,170200,146040,1760,130360,1680,1880,135320,3880,169400,164240,166520,35600,167560,1720,33880
"H",105440,154960,123640,120080,91040,157480,8920,86800,97880,4400,2520,29880,30600,62760,40040,72960,158160,21600,NA,2280,NA,2000,142560,38480
"I",1680,5440,74280,133640,1720,NA,158640,2040,141560,162640,45040,160520,172080,150880,145400,160920,2480,22800,120240,156600,160600,2720,NA,1600
"J",1080,109920,NA,176680,70160,146680,128120,1960,152240,169800,2000,104760,2720,163000,5960,153960,61920,53560,54160,102600,18240,142000,164920,139600
"K",137280,128080,124240,3480,15680,146200,1920,160440,1960,1960,151760,147400,165880,127240,63880,167680,137120,NA,121240,159920,1800,1800,134520,1280
"L",9880,51000,134920,116040,NA,2000,148280,137760,126880,57280,1560,112200,4200,NA,155360,37240,NA,118600,94480,151160,36080,117640,153320,1160
"M",68400,143120,142160,69520,147720,156280,2400,144120,2320,157200,171760,1800,2120,166840,152000,151840,166880,157560,81480,NA,137760,160320,28360,90360
"N",79640,155920,2200,175760,136200,130520,157520,165840,39560,161400,119200,2120,159240,69120,35440,109840,158600,114600,167200,157520,135560,NA,25040,23680
"O",128400,119920,102680,NA,119840,2040,130280,NA,155520,87120,163960,32400,162960,158800,83040,NA,155360,158280,164480,166480,163920,166760,72280,840
"P",133960,NA,71920,1040,80960,145960,158960,6640,82840,172960,1800,153920,153520,32760,122000,154920,118440,133360,1400,42480,NA,26800,NA,56240
