"","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22","23"
"B",11013,13119,14549,12759,10578,2012,1286,766,1750,12009,26986,23424,14580,10147,8184,6983,2833,1353,406,401,246,1120
"C",20765,28283,26493,26067,20519,21069,20272,17961,15240,14425,24320,25755,26519,29898,26366,26250,25059,19414,14749,13642,10699,7970
"D",24929,34064,31940,29920,25937,23854,22715,22017,20011,20938,27179,23532,27256,33051,22425,24102,22572,23663,19431,17199,16283,15218
"E",25288,32201,31868,29566,28097,29916,25285,24668,21650,21282,27957,26394,29940,27302,22973,23023,21679,23731,19403,19549,16774,18350
"F",29436,26380,30404,30832,27922,26099,26509,20057,22776,22898,29830,25795,26480,24957,21993,23610,20753,20721,21375,19767,22047,17840
"G",31022,28611,31252,26800,28225,29256,24251,20373,23878,21747,25227,25851,28019,25669,25383,23476,23487,22870,20520,17488,19045,18302
"H",21580,27748,25483,24191,23021,22483,20525,18686,19973,19715,23373,24961,30463,29066,28354,25127,27208,23539,24054,21329,22267,22168
"I",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,25099,29983,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"J",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,32667,26079,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"K",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30589,29585,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"L",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,23643,26387,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"M",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,28945,27851,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"N",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,26346,25724,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"O",26803,NA,NA,NA,NA,NA,NA,NA,NA,NA,25150,29293,26652,NA,NA,NA,NA,NA,NA,NA,NA,NA
