"","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22","23"
"B",18170.75,21422.73,22026.59,24010.25,19826.35,23253.26,26179.93,24220.29,24461.18,18889.24,23801.66,26301.65,26300.65,20398.46,26019.88,24011.08,25304.53,19900.73,23214.59,23220.57,23441.81,17546.77
"C",21318.91,95.98,90.86,276.41,459.43,954.93,2925.13,4532.89,3309.82,4040.65,22274.09,23010.55,4423.57,90.83,98.4,249.97,120.17,1174.42,2212.79,5774.54,3794.68,14021.83
"D",18401.44,91.18,129.78,238.46,275.57,1441.88,4180.84,4703.41,4893.82,5282.23,22561.05,26372.6,7896.31,87.78,79.58,176.03,380.34,1591.57,2779.57,3956.46,5146.44,19367.56
"E",19325.71,77.78,146.22,1557.98,440.3,2153.48,9319.88,10178.02,12509.16,11486.65,25201.65,21457.45,13374.4,99.97,157.58,528.41,928.08,4987.84,10857.07,12876.67,10366.63,23015.95
"F",18711.25,65.79,208.78,1529.92,1557.2,6721.94,12200.89,13490.59,13426.88,13190.42,25160.77,24115.05,16405.56,75.87,103.63,760.47,1681.41,5655.19,9422.76,13692.86,9908.17,20519.45
"G",24881.27,140.84,190.18,1196.24,3700.91,9937.8,20956.95,20285.31,21748.41,19061.68,27789.51,26280.58,23573.62,225.63,306.98,2561.15,5055.25,10041.76,17510.06,23129.54,20148.29,24478.32
"H",20375.53,144.22,613.17,3039.55,4280.86,7676.29,21568.52,24710.86,26086.88,26712.11,26221.86,26735.81,25365.17,117.82,364.86,2054.22,4290.17,13904.82,21387.21,23870.17,24464.97,23034.67
"I",22372.45,293.66,1093.04,2316.42,2254.49,14044.6,23215.24,25430.76,26606.12,23901.63,25105.77,27423.09,26944.35,306.7,1132.03,1575.69,3150.22,13697.95,24225.01,24924.86,23365.87,24991.36
"J",23085.33,659.11,1109.93,1790.23,3324.51,13789.44,22384.06,27541.98,28177.25,23611.3,23137.05,24975.74,27737.04,496.88,1193.72,1822.91,2807.89,16359.62,20004.71,22351.85,25137.83,27252.25
"K",24452.68,988.24,1464.18,2216.45,3269.27,16102.88,20666.62,24826.66,24649.64,25457.42,25185.46,27349.49,27575.59,892.87,1336.87,2531.49,3120.49,15005.14,23281.26,23572.63,22690.35,23700.41
"L",20616.69,1083.01,1527.97,2365.64,3726.67,14778.7,24225.75,24507.84,25940.53,26088.95,25755.05,24980.06,23227.24,824.45,1780.06,2621.76,3532.5,15447.99,21069.29,26041.86,23653.49,25988.5
"M",22525.91,1016.09,1054.18,2074.83,2960.88,11235.72,21903.35,22841.13,23965.36,21166.68,20423.5,22928.92,22573.13,662.77,1411.44,2312.3,2914.32,11411.29,20896.14,21936.05,21822.96,21570.92
"N",22894.61,15890.96,21789.16,23373.39,22946.17,19528.05,21733.58,25975.92,24803.66,19800.16,17634.21,24398.65,22999.27,23652.45,24939.74,23332.2,23820.29,24831.36,18723.72,21759.58,21755.19,21141.21
"O",21621.4,17836.08,23892.52,21751.7,21758.34,19629.3,20113.6,24988.85,24713.68,21293.19,23699.97,22852.35,21243.94,26060.46,19588.4,21382,24373.79,24199.38,23560.69,23833.2,23544.05,21233.85
