"","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22","23","24"
"A",99080,NA,252200,174960,325800,295840,295440,173560,89640,298360,152240,137800,155480,246200,87640,143400,151480,150520,167480,136520,133560,279040,126800,233520
"B",148640,95880,179800,315760,196360,185120,257680,284800,NA,180480,178080,137240,287880,205760,244960,110120,190360,143400,174880,191680,232480,304120,215720,260040
"C",142520,128360,145240,169560,225560,284760,160720,279960,177080,269360,135680,139640,158080,269440,139480,172360,252480,248800,149840,225840,261200,270240,273400,125080
"D",NA,108040,165160,287800,309840,177360,140880,138080,100440,120360,231120,140160,134680,258160,167640,156080,297080,265720,148280,172520,228960,272200,174800,247280
"E",299560,168360,296280,269480,349720,110160,259560,183040,291800,324840,203360,180640,274680,272640,184800,218280,261080,107000,153440,179600,185000,191520,150680,94120
"F",140920,158480,NA,137720,343200,202560,164400,165680,156400,110840,247560,267480,297320,148920,142000,287720,163000,149240,NA,NA,267800,157160,264440,143720
"G",300760,157240,NA,197040,114080,297520,247920,262040,268320,302760,152760,167320,307400,119400,137760,169120,141560,277880,270640,279760,260760,277560,164640,282120
"H",152760,280880,143080,204040,213400,289800,150560,273560,135040,138760,146760,155560,158680,156400,268960,297960,255200,141880,NA,160520,NA,124720,305160,175800
"I",158480,147960,175160,288120,167440,NA,288760,107200,266280,274600,262520,293840,229160,292000,266600,252960,152240,146080,250360,296720,204440,182600,NA,84320
"J",94200,182800,NA,291600,149240,189280,181440,154320,202480,277480,180840,143080,183760,268080,163640,245640,143760,168600,171760,139480,141960,190520,214680,134400
"K",210720,168760,141640,169640,191880,250600,108600,269960,136920,136680,269000,259520,265000,146400,260880,256080,296320,NA,257120,284920,102720,106400,251520,91840
"L",138280,177440,263880,251360,NA,168680,215440,189920,141440,288080,166040,315000,199240,NA,225400,142040,NA,274120,274160,284720,158480,182640,199560,99280
"M",139800,221960,249360,134880,313040,233680,164960,154480,162840,182560,221240,164280,123280,231640,242920,319520,204480,285200,208320,NA,164360,272480,156160,229400
"N",183000,257120,164440,252720,163760,212600,230400,250000,168240,324360,142080,117480,271240,250200,198960,287600,253800,158520,223520,242160,197680,NA,159920,151200
"O",255480,236840,139200,NA,248720,152720,139200,NA,219720,196960,192280,148200,214920,233920,176000,NA,244960,282640,258360,242040,270360,208600,228520,115520
"P",204320,NA,240240,157640,142640,242040,198400,144400,147600,265200,146120,245680,224560,148480,218120,238400,155480,154480,137160,164680,NA,149240,NA,120840
