"","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22","23","24"
"A",280,NA,160640,1560,138560,107360,175680,96200,1160,145880,8960,960,62640,134720,1240,920,41640,34280,34040,1280,1440,130840,12560,179320
"B",9000,640,90200,189880,1600,11160,148080,164600,NA,20520,1040,56080,107600,122560,113640,1160,40920,1280,10400,126560,152440,167120,81280,159440
"C",320,640,1160,1680,2080,137920,16440,108720,67760,129640,1320,24840,1440,128600,1560,63920,110520,127840,93960,95880,172680,118680,137200,1560
"D",NA,760,1640,202760,140320,1760,2240,2120,1360,1520,136000,1760,1480,130240,2200,1880,180080,96120,1680,22520,150280,170160,84360,157680
"E",145920,1040,180920,129560,116840,1760,150320,100080,103840,108960,84560,132160,112120,142680,1560,98880,128680,1800,1560,48960,145760,2280,1800,960
"F",17200,960,NA,1760,174320,127960,1880,2760,1840,1640,114000,103480,126440,1520,2160,175560,26760,67840,NA,NA,183200,3280,181960,1480
"G",133040,2680,NA,124360,1640,111000,113240,127040,136760,122080,87960,1400,116760,1320,1480,92080,1720,127120,173200,129920,105560,156560,1640,100680
"H",1080,136080,23840,57520,17280,130480,3000,107560,2440,1640,2000,1760,1600,2200,96600,111760,126520,1800,NA,1800,NA,2000,147840,16320
"I",1680,840,2160,133200,1600,NA,153000,1960,196400,122240,101120,147480,126000,128920,158560,174280,1720,1280,154960,155560,145480,2200,NA,1080
"J",760,20120,NA,153640,1680,107560,107640,1560,116600,130360,1840,2680,1920,164720,17000,125720,2200,2000,16640,2280,1760,95320,146920,53480
"K",135480,69160,66880,1640,1600,129280,1720,128280,1520,1760,126480,137840,131200,27360,100200,149800,152920,NA,120480,127840,1600,1920,144400,1160
"L",920,1880,138240,119520,NA,1640,125840,74440,21520,105600,1880,128720,1760,NA,136720,2680,NA,127000,117720,125680,1920,119120,137120,1120
"M",1200,130520,135360,1800,173960,132840,2080,81280,1600,74480,130120,1560,2040,177160,143560,214600,116520,132400,115960,NA,91520,159400,1320,116360
"N",83080,172080,1720,157960,27320,152480,153240,155800,2960,151320,20640,1720,172080,105640,97240,126440,131840,25040,136720,129160,128680,NA,1360,800
"O",145040,120720,2080,NA,112240,1760,20120,NA,199640,23760,124040,1920,143280,139080,28400,NA,136360,141120,222080,134240,153600,200200,110160,920
"P",140360,NA,106440,1040,880,133960,156200,1240,62320,141360,1320,148920,141600,1680,125320,222000,20840,90920,1560,1360,NA,2080,NA,880
