"","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22","23","24"
"A",480,NA,120200,23280,94160,73040,93000,75920,1320,125800,53720,63800,109200,124240,1360,38240,67760,62560,64320,38600,6600,65720,66400,109400
"B",80360,920,94400,103680,40520,65040,134920,119600,NA,97320,40760,97000,84480,116160,83640,1280,85520,8760,69080,111040,119080,77760,64600,107560
"C",40600,54200,10080,20400,61240,126160,59760,86720,93160,87920,15320,76640,6440,127720,56960,68040,80880,125000,93800,73320,93680,76400,113760,30000
"D",NA,840,9320,122760,122000,45560,70720,67960,1680,1640,137120,54680,15720,135240,48600,37760,108240,78360,37440,102600,125640,126960,72640,117080
"E",134160,6840,103920,94000,86040,1880,130640,103280,81480,77680,85600,120000,91600,100680,15760,76680,135480,1800,5640,67240,114520,45280,13880,1080
"F",93400,7600,NA,61880,120680,121360,36080,99200,70640,2560,97840,83640,137840,78120,94880,126600,110120,114240,NA,NA,107960,98400,92800,47000
"G",140600,95320,NA,131280,2240,89840,85040,134160,146040,146120,130800,16400,99520,2080,38520,117160,37600,144160,122560,149680,80680,146680,16960,72040
"H",96120,123520,105680,93760,97760,128720,76000,88480,92400,37720,37800,100040,73720,100120,77840,81760,134400,51880,NA,34360,NA,1960,93880,72240
"I",60120,30760,88480,90000,5240,NA,138400,3240,112200,149440,84040,135200,143600,139160,108280,125640,39760,65000,91640,125800,119840,61160,NA,1360
"J",2240,96280,NA,130360,73120,121120,99400,57720,150000,162760,27640,99240,54320,146040,64360,135840,81800,104040,82600,106000,70240,119640,133440,123880
"K",108520,115040,109840,36600,69960,125280,4640,127000,38760,2280,145600,140640,148640,118680,81840,137280,120040,NA,88560,147800,4080,8240,96200,1280
"L",53040,82920,124160,85160,NA,16920,127920,111360,129760,95160,7360,94240,72000,NA,128160,66400,NA,99080,85920,139000,93800,99360,122520,1400
"M",77800,122240,140800,90640,113920,129360,65760,126600,41200,156520,157680,60040,2480,155040,142840,126320,132720,138360,92560,NA,114800,138040,80320,90200
"N",79880,116520,27240,126040,120040,108080,132240,120880,100680,136080,131720,2440,127120,87160,79240,87280,131960,119840,131280,145440,100120,NA,60640,89960
"O",90200,91600,94680,NA,94200,8920,138320,NA,135640,102160,146280,64840,148760,140480,101880,NA,135680,135800,111640,151560,129320,144360,82960,40200
"P",122840,NA,85280,37400,75880,132200,144000,64240,101320,168200,49480,135960,139520,63160,105840,117440,124800,137080,9760,116280,NA,88960,NA,114720
