"","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22","23","24"
"A",163960,NA,159160,159320,174200,170760,194480,164480,142680,195400,157280,190520,202680,220720,148720,237280,158480,161040,174640,196560,160360,147680,159360,187080
"B",174520,124200,149960,173720,174840,169760,202160,171440,NA,160720,167160,179760,166080,174880,165200,164640,169600,160320,187680,188640,183360,163080,143480,176920
"C",183240,154520,149400,156600,161440,181640,156000,161040,196000,157080,155640,223040,155000,178920,164760,152320,156960,189680,200240,170120,168240,170640,161080,194520
"D",NA,131880,148200,181160,170440,174280,189720,166360,168040,136000,158080,171520,178920,173040,156120,170080,158520,184200,177920,174360,192120,199760,150040,202200
"E",216560,151920,157360,177000,169320,126720,182440,164400,153200,140080,153480,166160,174960,164560,161240,164240,168560,127840,180480,161480,179840,170120,158760,154240
"F",180480,152000,NA,183120,162440,172200,155840,166080,189240,150280,153560,160800,179480,165960,169480,169520,177760,203600,NA,NA,186800,174640,157440,152720
"G",216200,166680,NA,186160,148000,165040,154240,171160,191560,157560,164720,147880,181160,150280,160920,171120,172960,170440,193880,176400,158600,193880,145440,151320
"H",187240,164120,169800,167320,166800,183200,171480,150760,183280,157720,165400,167720,198360,177480,145200,161360,171760,169480,NA,165440,NA,152000,159760,170000
"I",161760,154480,160960,160040,155200,NA,215080,140800,161000,164120,143400,168760,215320,189520,156560,181040,166360,165120,183880,173760,176200,176640,NA,148400
"J",160240,160720,NA,157120,172640,180640,160440,156960,216680,175280,157720,206520,164800,159960,151320,202720,199440,181080,171120,182040,235480,185600,202920,201920
"K",178440,158560,165480,168200,165360,193760,159400,162640,185360,136280,169200,170600,240960,188600,147200,189320,165600,NA,194440,214840,171080,182840,171400,154400
"L",213680,153400,161120,156040,NA,165240,189960,165200,192920,142520,151960,159680,189760,NA,169160,215840,NA,158280,188040,192480,185560,170440,179320,145280
"M",206400,159000,164360,180160,187680,212680,169080,173560,166200,184240,173560,148880,179000,212520,175040,189240,175680,165880,204360,NA,177880,206000,175040,191320
"N",158640,161720,156240,167280,173920,173040,173240,156400,193840,161680,166800,147880,168760,147520,154560,162720,205760,185560,207800,205680,203080,NA,162520,203960
"O",187640,151560,169680,NA,162440,158920,199040,NA,181920,160320,170280,204160,197440,176280,168360,NA,189680,174720,197360,182520,206640,178160,147280,203680
"P",242520,NA,150720,179200,179560,191280,206520,165600,191280,175520,177240,233600,234000,190800,180600,182480,185920,196280,202680,178520,NA,210680,NA,198800
