"","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22","23","24"
"A",2760,NA,301960,51000,294400,232280,291880,294320,3840,272560,214720,306000,293880,306600,3840,202560,266480,224840,212720,181160,14720,215960,238160,244800
"B",278600,2880,255520,298400,161600,248040,256560,316360,NA,291000,210280,262920,310920,321760,314600,4640,318840,12120,266800,299560,298200,265560,199920,259880
"C",162600,254160,7280,196240,248640,278440,192720,294360,240360,286000,5040,255800,36480,317240,279960,256840,295520,262320,241280,284920,329800,276600,294680,143400
"D",NA,2760,23440,295960,269160,241880,235960,301600,4960,5000,280080,245680,5440,306640,269920,158800,346800,260040,135160,277200,319320,261720,233560,263440
"E",334960,23000,332320,305240,343080,6480,252840,286120,230200,282800,298320,242320,352720,344320,113040,246800,292920,5680,39080,294320,327920,238840,20320,2720
"F",292280,26840,NA,285040,310440,310160,172280,351600,241520,5480,292720,328160,294880,308840,316400,277000,296240,304920,NA,NA,329440,275920,270120,155960
"G",321080,280120,NA,296960,6240,313480,249760,272960,249280,312920,281480,94040,372800,7360,5400,264960,5040,239640,254480,312000,329480,270840,78760,227480
"H",321960,297600,317360,348080,358320,330800,216400,309520,264680,4600,5040,276200,205160,317360,257280,260520,301920,158200,NA,139600,NA,4480,284080,213080
"I",195520,6120,286960,302320,44120,NA,270800,5280,270640,299760,270440,318720,296200,315800,338680,299040,5800,168720,243880,277160,315120,224000,NA,3200
"J",3200,289360,NA,332600,303680,345360,260280,228240,249680,307440,128200,264560,252520,329160,226000,273520,312480,243720,222480,294960,215040,270400,215960,292880
"K",313440,251560,296760,120080,240800,270520,5120,329360,5000,5960,273120,303120,274840,292800,293600,297320,314680,NA,224160,261880,5160,4560,257880,3840
"L",6400,219240,265400,246360,NA,40520,264800,364600,228720,263160,52320,321680,244480,NA,303840,224720,NA,331360,235040,240320,295040,258160,251360,3600
"M",303440,276280,311720,272280,295320,271800,215280,271400,118800,285920,288160,183400,6400,314440,255040,278920,309560,213160,242680,NA,284360,263320,218280,270000
"N",245280,239120,1e+05,267400,235640,284640,252360,326600,248800,276840,261400,6160,303360,302600,302680,302840,262240,303640,200760,239800,322320,NA,137280,210000
"O",254360,245920,240680,NA,248160,43760,266160,NA,255600,274480,283000,212960,256440,283840,309760,NA,269480,262040,230280,220960,288760,215160,224600,15160
"P",253080,NA,252720,101920,239440,231640,267880,136760,211720,241840,42120,315400,249160,234760,313800,332600,295200,276480,36960,244520,NA,239400,NA,282400
