"","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22","23","24"
"A",564160,576400,604240,654400,623960,553200,562280,549200,641080,590800,576760,658440,862920,798000,779760,737280,783760,616840,602240,602320,766640,621960,681040,855800
"B",574720,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,836280
"C",558040,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,600560
"D",586040,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,749520
"E",608880,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,820120
"F",705800,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,636400
"G",594680,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,754480
"H",586400,709200,547560,527760,515600,734920,615160,618960,514520,516800,511040,538880,494800,531280,596600,671760,582160,515040,514760,627120,696880,616080,574200,695760
"I",561120,532160,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,524600,600080,457640,388960,336200,427760,444040,411000,490440,515800,573480,713440
"J",626520,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,372240,392440,205040,153880,162120,248120,166560,223600,313160,333640,360840,795960
"K",607880,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,422880,292960,172480,159040,137840,149760,200280,250640,338000,391400,411360,631200
"L",580720,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,406920,306120,188880,168760,156320,186280,241080,303840,417760,406440,453120,709560
"M",564560,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,485520,361880,322480,240320,217400,201320,280840,398960,408800,455680,476040,581760
"N",615920,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,547680,412480,427280,262640,261080,337640,322440,430760,449200,478520,630000,683600
"O",651760,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,542640,501680,436000,336240,540080,498280,508240,592320,572200,517280,603480,615000
"P",617320,536320,536480,571000,808880,567000,745400,550920,598000,609920,609960,520760,691440,573840,562120,547240,625800,545200,692200,611160,607560,595200,606320,635920
