"","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22","23","24"
"A",1840,NA,204040,11520,254240,233240,258120,205240,3160,233000,112680,121920,180400,207360,2720,9280,168760,179720,171200,12640,7440,205160,147840,202480
"B",141480,1680,185600,257640,6000,133560,227960,249760,NA,173960,33720,197520,256760,191840,234160,3520,196120,7320,156240,230320,234560,244120,217680,229640
"C",16680,107080,4880,25720,98880,233280,117240,260000,189000,263480,5200,153920,6000,213520,41800,166280,239560,234600,192040,215360,238440,227360,222640,15480
"D",NA,1920,5720,238880,224760,28920,121000,126600,3360,3360,207640,52080,6160,211880,67880,7960,201920,252560,5520,158480,222880,220680,183920,210800
"E",205560,3720,232440,242040,258840,3600,239120,192320,203080,233960,189040,213160,252120,219560,8840,199720,192960,3440,5800,142240,202160,76640,7360,2360
"F",134760,6120,NA,44720,250160,213600,20240,126040,30960,3640,226480,248600,242120,37880,109480,242960,149440,197760,NA,NA,242480,117600,236440,57800
"G",210560,125920,NA,218360,4040,259200,251720,231560,213560,238000,165360,6320,266160,3120,5800,193560,13600,243400,252400,230480,259520,232080,8120,208280
"H",105880,221800,158280,210280,176960,230400,79240,258120,113360,6320,6000,34000,7720,44760,218440,239480,191280,7920,NA,9400,NA,3400,243120,128360
"I",55920,4000,130400,254520,6120,NA,237400,4520,211440,225480,214800,236560,238160,192080,207200,229440,9280,9760,254480,225640,204480,74400,NA,2680
"J",2200,176680,NA,237200,55000,201400,229440,14120,207920,240760,10280,113360,17560,192120,108680,242240,47280,123240,148120,113880,9160,199920,232320,188320
"K",197840,177440,168480,11600,33720,206040,3440,226440,8400,4400,192760,226920,227240,140800,237040,218720,193920,NA,252880,213360,3800,3640,243840,2520
"L",5960,113440,210320,238880,NA,4520,195120,193000,146920,250480,8560,220920,18680,NA,213000,13160,NA,225720,253440,218720,62880,215840,223240,2920
"M",47080,203680,227280,55040,251160,216440,21960,202320,5720,199720,202160,20120,3520,188760,192800,257320,174560,219760,250440,NA,194800,210560,47800,220360
"N",169800,219480,10560,231720,163440,216840,227040,234560,106600,250080,151000,3720,243880,210240,192440,250400,182320,156440,233000,219920,224200,NA,16360,66320
"O",219000,235400,124360,NA,261360,6720,159480,NA,208960,162040,182920,9200,219680,190320,151720,NA,184160,201920,230680,222800,220360,226480,221800,4680
"P",157880,NA,195200,9720,67040,216640,195760,9400,178120,227840,5720,191520,200640,12200,253120,203240,142000,161280,7760,64120,NA,87720,NA,116160
