"","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22","23","24"
"A",54,8568,7744,9341,9124,8970,9322,9132,8242,8599,9017,9315,10595,10498,8712,10385,9337,9580,9820,10503,10367,9452,9058,8675
"B",58,357,1142,1252,1081,1358,2145,2090,2218,2135,1395,91,63,2435,2138,1992,1595,1893,861,1034,879,1067,588,9493
"C",36,1851,2554,3458,4899,8666,7345,7587,6705,7706,8497,7699,8672,8441,7434,7009,8448,7134,8187,4944,3488,2600,1799,10182
"D",35,2316,3983,5047,6228,7118,7758,7820,6829,7073,7919,7467,7634,7519,6867,7882,6763,7884,8081,6442,5490,4473,2526,9451
"E",41,2387,5008,5883,7359,7392,8435,6881,7341,7533,8392,7124,7823,8690,8729,8368,7142,7486,7528,8202,6975,5884,2500,9810
"F",72,2570,6542,6607,6738,7789,9805,8144,9325,7303,8709,9262,8481,10087,8519,9833,9091,8947,10120,7635,8236,6729,3785,8766
"G",28,2814,5951,7936,8606,10059,9159,10345,9371,9989,10355,10401,11122,10969,10005,11041,10754,11345,10051,9415,7963,7272,3388,9917
"H",63,4095,6494,7451,9627,8866,11155,10787,10781,11693,11485,11125,11000,10246,10642,10468,10360,9865,9690,9457,7593,7517,5066,10021
"I",66,4799,6155,7399,8485,8998,9459,8757,9191,10294,8752,11534,11762,11417,10126,9716,9847,10640,8853,8532,7401,5608,3522,10175
"J",82,4702,6721,7624,8063,8275,10061,8710,9856,9923,11072,10744,11332,10707,10106,9500,9923,9715,9377,8222,7960,5227,5546,8804
"K",55,2768,5213,7256,8149,9098,7945,9771,9787,9988,7867,11599,9990,9414,8583,9774,9036,9314,8798,8041,6699,5452,3500,9413
"L",36,4478,5771,6565,7970,7617,8984,8875,9479,8776,8612,10637,9779,8925,8782,9196,9137,8567,8115,7291,6468,5758,3983,8932
"M",48,9328,10553,8583,9762,9570,9931,10174,9540,10411,9476,10580,10548,10765,11152,9170,9250,10692,9072,9391,10243,8722,8891,9261
"N",34,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11262,9307,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9645
"O",50,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9786,10212,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8555
"P",61,9621,9611,9149,8784,9303,9759,8978,9871,8775,8374,9556,8297,7348,8462,10087,8462,9415,8933,9444,9159,8305,8309,8575
