"","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22","23","24"
"A",190360,NA,177480,159360,192600,186840,213400,196880,175440,188320,182200,176760,213880,215320,196840,271360,195600,174480,210800,221200,160120,180600,188320,221800
"B",195280,135320,168120,185960,177040,177160,205720,205600,NA,178080,177920,172000,181600,189560,181560,190240,178480,176800,194520,219520,222920,186280,173160,216160
"C",187880,163200,174520,164360,173760,223440,171440,182560,175920,189560,204080,216200,176560,181440,191960,176720,173840,190760,216960,176280,188240,160760,167160,177280
"D",NA,161560,174400,183160,183880,177600,184160,200480,173200,185960,195960,192680,183960,179120,172960,189840,184840,173400,186120,216120,179360,181720,159800,160840
"E",206240,167640,181440,177520,164120,159480,204400,195480,170840,172320,173320,180560,172520,179920,168320,173840,215640,159080,178640,182000,205560,180680,182600,155240
"F",203000,176920,NA,229840,181400,190960,171160,214760,174680,164640,183720,168520,177720,200120,189880,201160,203000,185760,NA,NA,207960,207800,172920,163560
"G",183120,174520,NA,185000,156880,165800,170800,208440,182880,189560,197760,167680,174120,164720,182280,192200,201720,172080,187240,207600,166480,199200,170440,161200
"H",207640,181720,205000,182520,178880,176240,181200,180600,189480,200400,180800,179720,179320,201440,164560,169680,223200,189520,NA,185000,NA,191640,174200,191280
"I",168760,164360,186560,180840,175920,NA,209640,166880,169520,185360,166760,196040,178200,175960,169440,192560,201360,169080,168560,201640,179000,174440,NA,156560
"J",181320,169560,NA,228920,214000,185920,177160,178120,188440,174920,170520,185600,169760,182200,162320,201760,186560,177640,174960,213600,198760,200960,203320,214560
"K",179520,169000,163320,175880,169400,176320,171120,187440,172840,183120,238400,214040,183440,172520,166440,183560,173720,NA,152040,180560,151760,159200,155560,157440
"L",206400,158680,171920,161880,NA,167280,169640,192640,181440,191280,201360,201680,172600,NA,172920,179360,NA,164280,157840,188240,172840,162400,165080,165720
"M",236560,175920,182840,208680,186960,191200,196200,234200,189120,206360,182920,170080,177080,202800,198320,201440,204800,176400,159560,NA,191320,192240,172600,168640
"N",178160,171360,157560,214640,202200,175160,203880,196600,175400,174160,195240,165720,171000,167960,163640,188280,197560,176280,191640,188120,161720,NA,169920,165200
"O",221880,171520,188280,NA,174000,169600,216920,NA,183360,171320,195600,224080,182000,180160,180920,NA,204200,183200,177560,203280,208800,181480,155760,182520
"P",185400,NA,162080,180640,196520,172000,181600,186960,164240,206560,239960,243400,170640,187200,162360,177760,197600,194560,178320,180760,NA,172480,NA,159840
