"","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22","23","24"
"A",41040,38440,42880,43680,46440,39080,43160,39720,44880,34920,41800,37960,200,40,40,40,40,0,40,0,0,40,0,40
"B",43600,9680,10720,10440,10400,10640,11120,9680,10480,10160,10880,41640,240,40,80,40,40,0,40,0,40,40,0,0
"C",46800,8800,9040,9200,9720,9320,9960,9560,9600,8760,11760,44440,280,160,40,40,40,40,40,0,0,0,40,0
"D",45040,8800,8840,9080,9320,10080,9760,9240,10520,10000,11880,46560,240,80,40,40,40,40,40,0,40,0,0,0
"E",45280,10440,12520,11200,12400,11280,12840,12520,11240,12640,15240,46520,360,80,40,40,80,40,40,40,40,0,0,0
"F",45040,27240,22080,30640,23640,30680,24520,35120,24920,31280,25120,54440,400,120,80,40,40,40,40,40,0,0,0,0
"G",43440,33400,37600,33400,40880,33480,45840,34080,39200,35280,44000,45360,360,120,40,40,80,40,0,40,0,40,40,40
"H",44880,45240,47840,48440,48840,52080,50320,53600,49120,47880,54600,50800,240,160,80,40,40,0,0,0,0,0,40,40
"I",47040,46400,44360,48840,50440,49960,54400,48160,50240,51400,52360,50360,280,120,40,40,40,0,0,0,0,0,40,40
"J",200,280,280,240,440,440,320,280,400,360,240,240,120,80,80,40,40,40,0,0,40,0,40,0
"K",240,80,120,200,120,200,240,160,120,120,200,160,80,40,40,0,40,40,40,40,40,0,0,40
"L",80,40,80,80,80,40,120,80,80,120,80,120,40,80,40,0,40,0,40,0,0,40,40,0
"M",40,40,0,80,80,40,40,80,80,40,40,120,40,40,40,0,40,40,0,0,0,40,0,0
"N",40,40,40,40,40,40,40,40,40,40,40,40,40,0,40,40,0,40,0,0,40,40,0,0
"O",40,40,40,40,40,40,40,40,40,40,40,0,0,0,0,40,0,40,0,0,0,40,40,0
"P",0,40,40,40,0,40,40,0,0,0,40,0,0,40,0,0,0,0,40,0,40,0,0,0
