"","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22","23","24"
"A",80,NA,79720,320,43200,280,29440,240,160,39400,120,80,80,24040,80,80,80,80,80,40,40,40,40,80
"B",80,40,280,6720,200,280,63440,11880,NA,160,160,120,480,160,160,120,40,40,40,40,3440,80,40,1800
"C",40,160,120,280,280,240,240,240,160,280,160,120,200,44680,200,0,120,840,80,40,120,80,1960,40
"D",NA,40,120,38680,26080,160,80,120,120,160,46120,200,280,28040,160,120,3000,80,120,120,320,19800,120,400
"E",26360,160,120,200,200,80,760,120,200,160,360,280,320,320,160,200,12880,240,240,200,200,120,120,80
"F",160,120,NA,160,23200,200,240,200,360,520,440,400,108240,320,240,45400,240,400,NA,NA,360,240,6520,80
"G",41120,200,NA,10160,280,7120,280,45240,45840,83400,240,200,400,240,200,240,200,6160,34960,37240,320,64480,160,160
"H",280,43400,280,280,200,43360,360,480,320,400,200,200,240,200,160,280,18920,160,NA,240,NA,240,160,160
"I",160,160,240,21000,240,NA,57520,240,400,75200,440,200,1400,2120,320,17360,240,160,200,240,200,200,NA,160
"J",80,160,NA,53960,320,240,320,240,240,560,320,400,400,47680,360,28080,560,320,240,400,280,200,6720,120
"K",120,280,400,360,480,440,280,13440,200,240,38840,70440,50200,440,520,1240,41280,NA,480,75960,360,200,320,200
"L",200,280,72960,800,NA,520,320,320,400,520,400,24720,640,NA,56760,1080,NA,10120,640,62200,440,400,74200,160
"M",240,40040,68480,600,30720,79120,640,440,360,640,98320,720,640,62120,122360,87200,2360,44520,8120,NA,720,4760,240,160
"N",240,30880,360,49560,640,560,66920,26920,720,90720,640,640,53560,840,800,24520,81280,1000,80840,110600,840,NA,280,200
"O",37920,8200,440,NA,15800,640,640,NA,35920,640,9200,760,82600,83320,600,NA,66720,49760,41080,109600,76160,49880,480,200
"P",50640,NA,600,240,240,82200,480,280,520,70000,440,52800,76680,480,480,440,240,280,360,440,NA,400,NA,200
