"","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22","23"
"B",110,16009,21768,18137,15633,15201,9562,9231,5677,4318,30361,27224,22588,21506,16714,19906,18776,12598,13248,9362,5072,3742
"C",18621,19340,26731,21358,22167,20112,15239,13361,12188,13219,31753,33258,27481,25329,24633,24920,21091,17339,17733,13737,11349,9437
"D",15656,26036,28906,24269,26966,21648,23027,16367,14086,16442,32892,33808,34324,31259,27964,26536,24190,23597,14782,13618,13970,12554
"E",19642,26407,25354,30240,32274,29057,22837,21589,18556,14227,32447,29717,32116,29610,24269,29709,29137,23332,21491,17069,15354,12636
"F",20840,23599,25988,31549,27740,30627,24429,16517,18746,19931,35261,35593,30693,30848,32870,26456,32344,25881,20334,15640,15251,13597
"G",18410,20820,29643,27668,31482,30684,30836,20991,27810,20296,33321,33059,37669,30831,33617,29034,31017,24961,18669,13998,11675,325
"H",20070,22013,29263,29251,32009,29513,22916,22657,21197,21385,36299,34021,29087,34671,28934,31096,25480,27203,22393,15235,12903,17035
"I",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,32413,34243,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"J",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,34394,33197,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"K",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,34728,28943,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"L",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,33716,33495,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"M",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30880,29859,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"N",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30077,33651,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"O",29107,NA,NA,NA,NA,NA,NA,NA,NA,NA,33701,35325,33739,NA,NA,NA,NA,NA,NA,NA,NA,NA
