"","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22","23","24"
"A",113600,NA,145840,128800,164480,157520,165400,158000,92360,186600,152560,153240,167760,166160,96720,201360,190680,169880,165440,169400,148080,162120,174360,204360
"B",160880,107720,159880,154040,159280,156880,176680,170480,NA,165880,164640,155760,159440,161480,161440,135160,193520,159960,175920,161480,218920,176080,160880,187000
"C",155760,171200,149760,143640,168640,166640,162280,166880,173080,158600,164800,173760,149160,168720,202200,158640,168440,174920,183520,165040,167240,163240,185640,166000
"D",NA,124560,152800,157280,175280,170600,181960,178000,127720,112600,176600,171480,168600,163160,171800,173960,166200,167760,168640,176680,200640,185360,164160,175960
"E",191320,130520,154120,156880,151720,100920,175920,170360,154440,148880,159760,169520,166720,169320,151240,154880,190160,109000,156440,159400,182280,187480,164480,130520
"F",186600,143120,NA,191520,160720,168120,154280,156640,163080,133720,160440,149600,203520,169760,175120,171920,196040,169960,NA,NA,175200,198280,181040,167840
"G",184560,173080,NA,170360,100960,158440,150360,152480,160800,184760,168920,138840,166240,110360,154920,167400,167440,191840,171280,178960,174240,198000,166320,163120
"H",184040,179400,166080,173560,163600,158640,167040,154680,168760,173120,158200,170200,169360,170040,141720,160160,218840,177760,NA,166000,NA,137120,181840,188480
"I",154400,153080,163280,171880,144080,NA,194880,106560,159680,181280,149440,161200,191840,179040,167720,168760,190320,167320,169440,163720,205160,194560,NA,135280
"J",133480,167600,NA,175040,179680,169560,170400,161400,169120,185280,153880,169240,174840,160640,142240,194080,203560,171080,177840,175760,182160,213520,207560,229600
"K",162840,158120,160080,154040,162760,167120,135560,165840,157920,108200,163400,160120,184800,168240,154280,170680,170760,NA,169240,178360,143080,155600,169320,126000
"L",159280,151320,159720,161360,NA,147280,177080,165080,169880,151320,138400,165400,171560,NA,181480,174240,NA,166560,160320,168360,174800,171400,198880,132280
"M",180480,147400,163520,191640,183240,185880,163360,180760,157720,202080,203520,161320,116160,177080,174720,189360,203440,189520,168480,NA,168520,231360,199400,188920
"N",158760,157040,143440,173600,169720,171720,181600,170880,161560,181760,191400,115520,180000,158680,154240,170800,220880,177240,185040,170800,171880,NA,175200,176280
"O",166080,162720,181320,NA,167600,141560,198000,NA,172560,163920,192920,191160,221960,176880,172440,NA,237200,178440,168600,181640,209080,180240,151280,165400
"P",158520,NA,149640,155640,177920,170240,164720,165400,163040,162800,138400,181960,175200,171080,162160,171840,197320,201600,153200,185840,NA,172400,NA,179800
