"","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22","23","24"
"A",43600,NA,251480,190600,212640,168840,222800,161920,22520,288760,169880,281080,287760,223240,19600,257840,180800,191560,168360,202760,115160,201000,225920,250680
"B",298920,18680,220120,266680,255520,166240,291040,257400,NA,260120,227600,261800,176000,301360,197640,37600,199280,192920,200800,245440,200920,220080,164160,263120
"C",256640,224120,170040,175760,182040,215600,187120,185000,211040,202840,210400,243600,163920,253080,228920,167720,175520,269120,243720,146880,191040,202280,226240,246440
"D",NA,20760,150760,270840,245320,234240,275920,221360,24040,23360,296200,235720,203080,233640,187800,247280,255280,181280,238400,217880,197560,281680,206080,271120
"E",297640,139840,248600,218280,189720,20520,351000,253720,183560,178560,204480,265840,206960,207560,220000,177680,297680,20120,151080,157120,215000,191280,183120,20480
"F",243080,139960,NA,237560,236440,276120,196800,317800,260360,29840,202000,164360,245240,240600,230200,253880,291960,211280,NA,NA,184840,278360,236960,171000
"G",279160,285120,NA,320560,31720,208880,206600,226440,300360,263880,296520,180080,211720,20560,211440,302840,222000,284800,277320,265320,168640,311520,164320,155960
"H",303120,254040,253840,216400,213320,279440,227040,169160,278560,200640,233720,263560,248320,280840,172400,184320,279200,258080,NA,215520,NA,32560,202480,165120
"I",175160,204160,270800,229120,149640,NA,350360,30600,270120,254120,202680,284480,295520,289520,254600,317480,217600,257760,207080,204160,244400,209400,NA,19800
"J",28280,219120,NA,301920,212120,295240,240280,196520,306040,195280,193640,275160,178600,280160,198960,272160,272440,239400,183280,205400,255480,293040,293280,305800
"K",254520,262280,275120,241960,235560,275960,31840,254680,226560,23400,300320,265960,294400,245160,195920,321080,319680,NA,196840,248920,27240,35200,187480,20800
"L",223240,206760,229920,188240,NA,176760,329600,232320,293240,174960,165400,205320,224720,NA,267840,294480,NA,236880,189400,188720,199240,241120,226760,22040
"M",314560,257640,290160,291320,260640,284600,227600,266760,245840,267200,314480,211040,32680,286160,298400,353640,314280,299400,186800,NA,241320,354720,253320,175560
"N",169720,258520,170680,285200,202800,252800,265280,347000,231240,225680,280400,32160,292680,174040,180440,202880,276560,284040,238760,236080,187520,NA,263600,296800
"O",215560,172560,230240,NA,184240,140280,284120,NA,338800,182960,299160,272040,287160,208160,224880,NA,251400,252600,240680,226760,226520,308400,166080,226120
"P",265200,NA,154000,201640,255680,233600,322280,266080,207160,220800,206480,250680,297320,210120,198200,273000,277720,255120,135360,270800,NA,210160,NA,294040
