"","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22","23","24"
"A",15000,NA,208440,27240,108920,61920,109640,57880,10640,222520,55400,165720,206680,229680,10640,96640,44560,50280,45960,69120,19360,76040,216440,200600
"B",132160,5000,222040,159960,39080,43240,271400,155760,NA,119480,40240,201360,72240,148560,78280,11720,66640,28360,63880,162560,203840,117320,80120,207080
"C",67440,190040,37040,33040,48080,228000,47400,63440,82280,108000,44360,209720,23520,227280,144600,50080,55840,236400,211760,61000,157160,74480,223760,80520
"D",NA,8360,24000,227240,254960,48920,188160,174120,10800,11320,266400,123040,39200,237400,42560,68040,146240,52880,58280,170560,228440,234960,92240,224040
"E",205600,19680,139000,74280,72240,10760,262960,112080,53760,62240,56200,198400,66280,105760,25480,46240,274920,11520,17840,46800,217720,43560,30960,8080
"F",209920,20080,NA,117760,145080,211640,33000,117320,55920,11200,90000,55280,239440,125440,155600,215480,139600,209000,NA,NA,195960,154960,137440,39720
"G",253080,108960,NA,206680,13080,83080,48640,226960,252840,251160,204240,18840,72800,12480,33040,155040,37920,211160,178520,195360,53880,229680,21920,51600
"H",166720,183800,184080,69360,78120,189440,47480,63920,174680,36560,40680,111680,72600,114600,45640,51840,248800,64320,NA,31520,NA,11800,106440,50960
"I",39800,40880,85240,76480,16920,NA,233760,13440,127760,255960,49640,242640,217600,217200,144360,216800,36400,71200,103120,156040,227560,41280,NA,10440
"J",16040,103640,NA,189560,119840,188880,74720,32320,188920,272040,25760,195360,32480,210000,48200,248480,123640,81120,56320,206640,61760,167240,227360,229080
"K",109320,155760,224560,29880,43160,209840,12680,202440,37240,13560,265920,210960,233240,176360,63840,252680,162680,NA,72680,229480,12960,12720,101400,10920
"L",43840,59440,257560,58480,NA,22560,230840,95360,228200,49920,18280,76320,37080,NA,239120,84840,NA,88320,58920,223200,105280,100200,193960,12080
"M",97000,207200,210040,117880,113840,227800,32800,214560,26360,256160,262600,24320,15240,189680,227240,167320,216600,239800,50880,NA,176480,289160,56200,84600
"N",48240,231400,22240,178080,157960,103560,204120,158200,55400,176520,228200,13360,161840,54080,41960,74600,225160,153640,230320,237680,83400,NA,57840,82240
"O",93840,73280,157920,NA,55000,16160,214120,NA,160240,55040,195280,75400,190080,196400,75200,NA,209240,183720,141760,210200,225640,218960,53240,42200
"P",203480,NA,44800,21280,136560,234640,208080,38760,51640,207680,26920,243040,211840,77680,71080,119480,181240,192080,18640,74160,NA,49000,NA,119680
