"","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22","23","24"
"A",645960,570160,538200,457400,540400,585720,570320,574000,521760,549880,606480,559720,524320,526040,586200,588480,557000,671640,602400,590800,542600,718840,591120,585960
"B",627800,550040,518400,491120,512560,506880,556480,608000,850560,653760,553640,548200,609200,560120,570560,538280,586480,542440,563360,590560,587320,566880,679000,461920
"C",563800,123880,140840,158240,179280,184320,163160,168360,167880,146560,163120,460720,174360,187040,180280,187800,183240,187600,188480,201600,167560,131360,86040,470640
"D",606560,141600,119440,147080,209640,241640,216720,180720,214920,201720,223600,565880,216120,208520,202800,207360,225120,221040,237920,238160,171480,131640,125920,570400
"E",501880,272280,150680,113160,186240,266720,258560,211680,228880,212160,236880,459120,236560,245280,234160,279320,276640,268880,304720,238720,146840,159760,251480,491880
"F",541640,450360,238680,138040,149880,267760,284480,252520,234000,223120,275800,504800,250240,261640,251240,265840,273880,299560,299000,137520,153040,233800,367800,572040
"G",525840,487640,264920,176880,156960,194840,329680,292600,274600,263160,285440,454320,274040,288760,294160,339480,322080,336080,215400,163440,208280,297160,403200,489640
"H",601640,482080,332280,231720,177040,179280,393640,405800,389200,340960,372400,531640,359320,362920,392920,388440,409400,374720,241200,194600,219200,322320,416280,508760
"I",492040,435880,286680,214880,193880,206960,425520,493440,439040,437640,429600,492080,426840,434280,448600,443960,497640,400160,244000,221200,221240,329400,433280,456880
"J",487480,434760,317000,232280,220400,266640,457280,480200,476080,467800,474720,512840,488640,495480,472560,465240,486480,429280,259440,229880,235920,317440,396880,588400
"K",456920,457000,488200,458960,480480,468600,444920,429400,442880,438760,439240,439160,437960,460920,436720,441720,446960,442480,436240,448240,432520,426240,442000,441680
"L",461000,465640,333120,240280,262920,295040,443840,444480,464520,473320,460840,435080,476040,475560,465840,433240,434680,419920,303600,263400,251840,317560,427320,428400
"M",572560,444680,485080,470920,435440,449040,455880,464120,461440,439840,435840,432920,448640,445880,436200,438560,434840,431480,443000,450680,443720,440480,421400,437800
"N",497640,462400,438840,183200,204640,230440,258920,286760,343080,388000,463640,456320,428560,420080,449520,436160,433160,418400,420440,413520,401440,411000,421720,469600
"O",430640,398240,406200,447960,427360,444160,429240,431360,418120,422640,438480,399000,428240,412640,421760,414520,422720,399600,417320,400880,409960,378600,390280,438680
"P",438600,409600,426720,429160,429680,420320,423040,426840,425360,441320,482000,459800,425040,442080,432680,429000,429360,419800,425200,412200,407640,406160,390840,451280
