"","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22","23"
"B",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,29947,27516,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"C",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,32511,28907,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"D",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,33962,33191,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"E",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,33357,29178,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"F",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,33993,34759,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"G",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,35641,33730,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"H",36018,NA,NA,NA,NA,NA,NA,NA,NA,NA,31075,34938,36087,NA,NA,NA,NA,NA,NA,NA,NA,NA
"I",596,527,422,303,314,206,124,205,164,187,37161,37096,839,548,374,439,261,174,187,122,119,113
"J",5004,4810,5700,4711,2161,1521,890,971,844,676,32700,36282,7235,6063,5027,4436,1625,1262,1119,809,510,407
"K",15554,16710,20003,19867,15228,9721,6849,5941,5239,5285,36713,30432,16671,19953,15957,15213,12371,7212,6402,5145,4687,2967
"L",27031,22993,25030,27389,24323,21553,17300,15564,14732,14838,32512,32198,24097,24419,23619,25702,25764,19956,16268,15027,14067,12476
"M",31263,31389,32911,34078,32632,27725,25656,24275,21586,23083,32002,33735,29942,26597,30151,31477,32218,30828,25333,24093,21687,20724
"N",32160,31886,35485,35213,34942,31887,29351,29060,26605,25701,35109,33646,30226,29646,31958,33045,31909,33645,27476,25236,23112,21530
"O",35811,37219,38461,38916,35751,35601,30650,29745,29770,28017,36040,31748,32984,29650,31850,34656,31881,33046,32221,30738,26046,24383
