"","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22","23","24"
"A",9000,NA,248760,24760,62120,39400,87520,57120,11480,267520,46520,245200,283880,253200,185640,251440,62240,61840,52520,226480,22880,22720,211040,241800
"B",87280,164800,250480,125840,75640,57720,248560,205080,NA,102160,58760,241640,93560,204960,100760,170800,94000,73640,75760,161200,222720,52600,26600,265200
"C",133440,254240,97720,39800,68840,248760,43160,89320,89440,99320,216400,237040,52720,262160,235840,53440,86400,254040,270720,80440,116760,59200,247040,223440
"D",NA,149800,42960,235120,232200,73640,235040,258560,69680,24440,241320,229480,219480,267080,66920,181120,166880,81240,125240,237120,240320,261840,47480,266880
"E",310240,30600,121760,98840,113920,18640,257360,146200,78840,69880,80760,234560,108160,142240,58800,79360,265400,18080,42760,72120,227120,52000,55120,140560
"F",291520,29400,NA,238680,193960,259600,53720,159200,91240,185120,122320,85200,254920,262880,258480,280280,166600,256120,NA,NA,236520,204480,97680,25840
"G",316160,116920,NA,240480,54600,114680,76720,289040,250600,261680,248040,37600,144520,31600,229800,205600,231920,274440,229320,256240,93880,267080,22960,23840
"H",309040,295480,262720,96440,103320,257400,67400,101200,273720,237680,224200,205480,264680,284840,88600,91240,262520,237280,NA,70960,NA,38560,82600,35600
"I",27680,180800,81560,97640,36240,NA,246280,49840,153840,237680,86320,261920,266880,232440,159680,260040,203600,216320,143120,197960,237520,54560,NA,13920
"J",210680,100360,NA,229240,226240,235480,97320,62440,254720,261680,57440,249520,68880,269680,62640,266040,241840,98880,86920,248600,219120,185480,253720,285680
"K",118640,238440,279640,61360,74560,233240,166120,245520,224440,31080,235600,238840,248080,248520,89440,273680,203320,NA,115880,241960,153240,163160,89640,14840
"L",232680,57920,239280,88360,NA,54320,240680,149280,211480,89000,42760,127080,83120,NA,215120,231160,NA,121600,105200,220880,177320,100600,237040,19840
"M",275000,284160,260720,220600,158840,223120,61960,262680,60240,261240,215840,47960,44720,266840,238600,247280,244800,210960,107600,NA,201240,240400,75560,70840
"N",37360,232520,48280,238320,238520,147640,229080,200200,89840,207080,207200,41840,233360,95080,81440,109160,218400,194080,225160,231440,109360,NA,75160,63400
"O",65600,79360,232720,NA,108880,32400,232160,NA,182600,83520,215040,229280,254760,223320,96760,NA,214600,222960,178400,221600,188240,244680,57960,76520
"P",265400,NA,74600,47480,220080,217040,209000,65720,74000,237440,59000,222280,251960,232600,105320,147360,223880,214120,33400,135080,NA,73160,NA,119120
