"","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22","23","24"
"A",160,NA,52880,520,60520,200,47960,320,240,1e+05,520,49600,42160,30600,120,240,40,80,160,680,80,40,520,1520
"B",80,120,280,200,280,200,27160,280,NA,1400,280,720,360,280,120,120,80,120,160,80,200,40,80,40
"C",80,200,120,200,160,11320,160,160,200,24920,320,1440,280,31280,200,120,160,30240,4520,80,80,40,8880,280
"D",NA,80,120,31480,30280,160,280,240,120,200,26520,160,240,5520,200,200,160,200,160,280,120,640,80,440
"E",1360,80,40,160,120,120,480,160,160,200,160,360,160,120,200,240,21200,280,280,240,160,40,40,80
"F",120,80,NA,320,3280,160,120,240,200,120,240,240,44640,200,360,50000,400,280,NA,NA,200,160,80,80
"G",640,80,NA,42840,160,120,320,24480,440,600,20480,200,9880,280,240,3640,400,22640,440,31360,280,27840,160,80
"H",200,1880,160,200,120,1440,280,200,400,280,280,480,480,400,320,280,38600,440,NA,240,NA,200,200,120
"I",120,80,120,120,120,NA,67000,320,560,59560,520,34640,90880,68960,560,30040,360,360,5240,15240,11400,200,NA,80
"J",120,80,NA,6720,240,400,440,480,1280,67160,680,720,680,35400,680,22840,640,480,440,680,320,520,1560,200
"K",2280,1320,160,320,360,440,480,44520,400,600,83480,51600,67000,18480,680,44520,47520,NA,560,72040,360,200,200,160
"L",200,160,320,400,NA,600,29240,23640,4440,560,680,600,480,NA,53000,1080,NA,800,760,60920,480,3880,27920,160
"M",280,15800,600,400,28120,18640,840,40880,800,44240,69200,600,560,66920,66080,31200,57360,67240,840,NA,640,41040,280,160
"N",200,30920,400,65960,64040,40760,65680,43840,720,51880,38120,640,21520,680,640,720,39360,28720,74680,68200,840,NA,440,360
"O",440,5320,600,NA,6280,480,34760,NA,23880,680,59640,680,60800,60600,7520,NA,63920,47200,51600,65520,51320,60720,640,320
"P",26960,NA,280,280,480,52240,41640,400,320,42320,520,49720,47120,520,400,19760,38360,25800,440,560,NA,8880,NA,48320
