"","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22","23"
"B",15470.48,18480.27,24282.49,21016.45,23726.47,28739.59,25636.39,19794.23,20101.85,32165.18,27950.4,27238.6,26702.29,25596.3,25021.07,29163.92,31001.13,28030.29,26747.25,26725.03,24056.96,18691.15
"C",25736.93,160.9,117.89,137,162.98,352.76,176.89,566.44,331.48,449.41,28091.96,29103.86,413.51,175.02,211.77,144.65,161.53,327.28,397.46,298.36,402.29,23141.83
"D",25839.78,169.37,171.91,222.71,102.36,379.82,539.22,896.17,846.2,905.7,31122.23,23980.97,601.17,238.15,129.31,76.19,252.81,471.02,542.08,1111.53,1192.27,20183.45
"E",30332.91,194.77,276.56,259.53,553.88,1606.14,2456.26,2255.43,2632.54,2516.39,30708.09,31980.38,1588.71,161.98,83.25,82.89,172.58,1308.71,1874.3,2215.03,2584.15,26514.46
"F",18594.33,208.6,79.75,1612.89,3451.52,1846.19,2924.74,3331.8,4419.84,3805.5,26633.72,26433.58,2965.69,233.84,105.02,418.5,5414.35,2724.63,3302.4,4543.4,4561.17,27308.15
"G",28083.22,224.16,124.14,544.46,2356.11,3337.16,4740.39,4532.15,7407.75,5980.04,29033.28,30818.24,6285.98,319.12,111.7,854.33,1821.91,4224.16,4799.31,5147.32,6077.86,29680.62
"H",24717.37,224.51,85.45,365.92,3841.68,4006.7,5513.66,11492.74,15380.02,13218.41,31279.78,23375.17,17675.61,188.82,117.68,1659.3,4224.35,4499.61,6857.86,10594.04,11242.33,26315.37
"I",30141.86,426.19,102.45,925.85,6208.06,7201.79,10090.71,27326.52,30285.57,29071.26,31907.64,32780.63,29587.69,335.27,101.51,2842.62,5659.05,6796.44,11163.88,26400.49,28392.18,32341.34
"J",29373.89,137.29,79.84,6397.3,7906.77,9607.25,21638.72,29814.04,30845.7,33150.26,30180.23,34081.41,31949.96,103.71,258.06,4663.18,8347.77,11462.49,21805.18,27203.32,31262.19,31662.63
"K",26558.95,113.87,142.69,5777.07,11688.36,11729.02,26143.65,31015.43,25346.15,29042.43,30784.61,25098.82,29920.74,141.72,310.44,5428.59,10272.35,14524.57,21802.23,30277.64,30113,30099.74
"L",31391.48,171.81,84.49,6548.5,11375.54,17769.07,24295.9,31413.91,33826.19,30791.63,31659.34,32311.39,27840.03,181.68,574.67,7019.06,11850.92,14929.88,25563.14,30058.55,29013.12,31371.68
"M",24537.71,152.82,160.18,1942.65,6218.23,15784.63,26269.41,25834.06,25791.26,25557.86,29144.36,29156.1,27803.16,156.92,367.7,8302.48,13675.9,17228.54,25161.29,28817.74,26779.34,29826.96
"N",21216.72,25504.14,22758.57,27617.25,19011.5,21766.19,30424.52,26926.84,24955.86,26066.72,26022.72,32471.7,24956.89,29613.21,30747.09,27223.58,28035.66,29231.01,27833.47,25116.41,28854.35,23147.18
"O",26000.95,27229.03,22996.41,31546.18,26465.64,29976.87,28040.46,30350.92,28493.78,30684.38,30709.29,30486.67,31619.35,32884.51,29850.14,32233.83,30877.67,26563.87,30576.87,23604.92,28903.48,31316.2
