"","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22","23","24"
"A",1400,NA,351440,16600,259720,219280,276680,225320,2920,413240,112840,256360,268880,300440,2960,121920,161800,158920,153960,152760,4320,278840,255360,364040
"B",233760,2160,243960,299920,99720,117400,262960,285080,NA,185600,55160,192880,270960,312120,236120,3160,179080,23480,156800,311520,277240,290640,272480,352680
"C",158280,204600,17920,34320,107000,249920,100960,247960,204200,227880,28120,172880,9240,287480,169120,155160,260160,251920,227000,219400,256360,255960,318480,98360
"D",NA,2280,11680,292440,276680,109400,190400,240640,3840,3920,227720,172960,39760,316360,77520,155360,314520,241920,158720,281400,276960,329320,198920,307320
"E",322200,3560,308000,249880,257680,4800,270920,259240,244360,253000,220600,234520,320280,295640,35480,249480,302000,4000,5680,191080,281720,73320,24280,2280
"F",232880,3640,NA,207360,282160,279360,36280,246200,140480,4240,209840,241640,271600,216960,212000,274000,243520,207640,NA,NA,305720,257040,288560,38360
"G",266560,244240,NA,206280,3880,219000,272240,289000,253760,259000,201240,13720,296680,4520,43320,212080,35000,253840,306120,316320,247600,323680,10320,268880
"H",243160,293160,238720,152640,196840,295280,88760,297840,185240,37480,38200,175000,187760,221400,237920,229520,337080,141200,NA,63320,NA,3560,263720,120800
"I",54800,40240,212000,274160,4800,NA,262400,4360,291040,269840,288400,275960,314480,311800,317480,285280,45160,122640,312960,334920,274680,82240,NA,2640
"J",2160,236240,NA,295840,188240,217160,224640,34880,232120,277400,26040,188080,59160,295280,117560,224920,166120,152760,133040,210440,158840,303560,262960,231120
"K",280280,246560,226600,61240,120360,257120,4120,290600,37160,4040,216040,244760,272840,217160,263960,220760,246680,NA,305320,306320,4640,4600,279840,2520
"L",36240,146280,274640,271720,NA,13320,242600,240920,201240,268720,5960,219560,96240,NA,303720,145280,NA,323800,326160,321040,199600,339960,274680,2480
"M",198160,298080,272000,164160,293520,280880,52920,240520,33320,225200,228120,30280,4480,337760,315640,243080,281880,240440,308280,NA,255240,307360,159200,243720
"N",236720,305440,21480,259720,210200,284640,254560,293400,148760,284720,199840,4040,337080,326720,263400,227160,236240,252560,281800,327760,253600,NA,130560,183480
"O",270160,300920,179520,NA,265840,4960,190480,NA,315480,147880,214200,130480,286240,307680,210280,NA,274000,270520,334360,302880,277800,343240,233840,38840
"P",237560,NA,256280,17720,179120,231160,259640,106640,158760,250600,24440,272480,235800,188680,263480,205880,201280,209120,4080,197920,NA,121560,NA,269280
