"","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22","23","24"
"A",29,7902,7291,7064,7421,8295,7660,8846,8107,8487,9068,7856,8094,8673,7326,7554,6285,6089,6910,6524,6233,6101,5800,4786
"B",44,201,104,315,41,31,47,80,77,41,34,53,44,35,68,53,41,57,56,33,62,41,82,8449
"C",44,262,701,880,1525,1861,2029,1848,1628,2216,233,78,1012,1577,1791,1504,1778,1588,1409,1128,796,505,222,7385
"D",30,912,3168,5397,5385,7001,5971,5606,6836,6518,6570,7964,8044,6124,6818,6400,6141,5785,5911,6078,4711,2815,1457,7662
"E",22,1188,3413,7235,7910,8263,7063,7940,7141,8063,7361,8321,7978,8583,7545,7845,7062,7742,7497,7871,6687,5206,1706,7513
"F",25,1673,5240,6758,7411,7659,8575,8629,8455,8517,6392,7767,7351,8198,9252,8747,9296,9361,8387,8833,8423,5724,2285,7684
"G",48,2062,5068,7106,8080,8372,8769,9862,9289,9383,8918,9471,7945,9873,9814,8642,9034,8827,9532,8389,8066,5570,2811,7577
"H",41,2249,5579,7121,8402,8648,8539,8534,9764,9289,9701,9980,8314,9924,10481,9113,8816,8681,8611,8033,8707,5821,2014,7880
"I",35,2362,5836,7095,8225,9509,8417,8600,8632,9142,9183,8870,9093,9446,9457,9105,8638,8243,8250,8066,6680,6434,2416,8396
"J",35,2215,5707,6732,7592,7927,8930,8489,8730,8548,9782,9669,8075,9077,9025,8472,7573,8130,8679,7347,6798,6193,2551,7928
"K",34,2138,4315,5656,6999,7445,7301,8757,8386,8725,7408,9849,8297,9443,8028,8323,7916,8057,7249,7354,6168,5814,2859,7139
"L",49,2528,4681,6658,6802,7343,6772,7428,7706,8073,8864,8632,7907,8414,9494,7580,8387,8062,8054,7206,6488,5386,2348,8630
"M",57,8628,8795,8510,8868,8512,8314,9492,8760,8812,9680,8663,8771,8583,8350,8672,9164,8090,8241,8844,8469,7546,7983,7950
"N",27,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9138,8264,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7713
"O",25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8808,8999,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7628
"P",77,8188,8456,8293,7650,8916,7926,8334,7912,8072,6812,7619,7384,6917,7148,8697,8697,7613,7360,7587,8650,8335,7760,8510
