"","11","12","13","14","15","16","17","18","19","20","21","22"
"B",NA,185120,142880,150840,148320,149120,148160,143440,134320,88280,43080,83880
"C",NA,183600,179400,176680,170280,179520,171880,173040,168600,150080,83480,137120
"D",NA,198680,200120,192120,196040,180000,178040,181560,180560,163480,101840,161880
"E",NA,189040,191160,192280,195320,193640,184000,191600,186760,168160,101080,157280
"F",NA,208560,203120,199120,204280,190280,201240,187160,189840,174560,109600,170160
"G",NA,195920,205120,208280,198920,194600,195320,196280,189760,166960,105840,174680
"H",209080,200360,202680,199880,207000,195920,201040,202200,186640,169680,104560,166000
"I",195520,199400,199200,NA,NA,NA,NA,NA,NA,NA,NA,NA
"J",NA,209560,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"K",NA,187800,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"L",NA,190320,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"M",NA,190800,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"N",NA,193440,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"O",NA,183160,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
