"","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22","23","24"
"A",780680,833040,759000,911040,813480,802160,808000,829320,745040,930280,809360,973760,721760,805040,858520,919040,855640,827600,819920,773920,667360,729120,722080,682600
"B",632800,578480,794160,748840,674600,786560,781520,866440,763520,848720,843920,846400,693400,797600,734480,805360,760760,781360,759880,796280,671080,703880,681600,730360
"C",769360,1360,1440,1160,1240,1120,1400,1560,1520,1800,2240,859400,1920,1760,1560,1600,1440,1440,1280,1280,1320,1280,1360,755840
"D",724840,880,680,640,760,880,1040,1200,1440,1600,2240,795200,1840,1440,1360,1560,1280,960,960,840,520,920,1320,744280
"E",810240,1040,680,600,1160,46120,139480,238440,330520,301560,321760,867880,378680,282360,368480,301680,317520,175680,35880,2400,1000,960,1320,807000
"F",693240,12080,13320,30080,67600,293440,508480,642400,672320,690840,756240,750120,747640,690840,723000,644080,817400,567320,249440,77880,48080,27520,9400,785840
"G",780200,31000,36080,53160,102200,253040,710240,740520,726880,654320,786640,766320,733000,809000,720720,807320,760160,781960,419280,85360,63000,48360,29920,759480
"H",746040,34800,36920,60040,116520,429160,761560,753480,762760,772880,693240,830640,805360,790440,723880,868040,744880,810680,410480,79640,57080,37680,36560,767320
"I",703840,31120,28680,56280,116040,480560,675680,739000,771120,737640,705600,726760,787200,748840,686200,732040,798440,789720,376320,84760,50240,46840,34640,827160
"J",734840,32720,30280,49920,104240,363120,689400,644280,676240,765400,627680,710440,709040,716000,375680,685640,696040,696560,421800,93160,55320,35120,38080,767160
"K",705880,632560,671240,662840,642880,704680,714440,678760,663560,758360,669560,680960,659480,731640,682800,679840,676400,728280,650840,721960,759760,805640,750120,729720
"L",668160,36640,44160,53440,101040,419080,756840,638360,733880,693800,680640,666720,613400,756800,765760,751960,576040,746920,484480,127560,58360,39680,37200,702640
"M",661800,615280,640000,645480,726520,709560,684480,696000,626440,704440,631600,586680,713480,643400,646600,642600,622680,666840,602120,683840,602280,655440,686560,715440
"N",685160,577880,566720,4880,6480,280360,554280,639960,626680,680720,631680,617480,686840,652920,748040,661640,692840,661080,639960,709440,636280,559200,591920,666600
"O",710320,682560,607280,659160,695240,678760,679680,658720,645720,680440,662560,680720,742480,614040,646560,646920,692280,698400,703400,701320,693840,541200,740880,751400
"P",632360,696240,625040,622400,715040,687200,686680,657360,692240,695320,761880,755360,720360,718040,720520,717920,597800,693800,572600,683760,640800,682960,539200,624160
