"","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22","23"
"B",11390.64,16989.18,18607.56,18020.14,16204.04,17802.79,21313.41,22414.69,19169.38,23388.81,20458.88,19883.99,17572.52,20243.03,20924.89,21597.88,18742.35,19145.06,21133.66,21212.65,21713.78,18242.66
"C",16318.48,166.12,211.31,214.49,326.18,239.93,270.96,233.38,263.14,307.86,20518.08,19209.06,189.17,93.34,162.1,246.94,200.91,235.36,181.64,283.13,295.22,17310.9
"D",20306.85,320.64,334.77,380.72,331.23,419.96,681.78,445.83,660.61,659.92,20681.29,18647.52,804.7,355.01,365.71,343.76,334.48,509.36,258.89,538.29,425.62,12396.88
"E",21280.6,463.01,654.36,578.21,1191.13,739.35,728.48,996.16,1114.86,1178.16,23163,22082.96,1131.81,509.45,727.98,933.15,825.61,881.9,944.83,1042.08,1356.36,21424.22
"F",19959.66,889.52,1230.67,1178.37,1674.23,2304.61,1491.71,1826.36,2107.89,3048.42,16238.13,20448.68,2942.36,862.9,1806.76,1454.05,1443.84,1254.79,2291.87,1990.87,2000.45,18772.35
"G",23139.74,2125.62,2146.18,3047.01,3114.26,3943.48,3397.28,3817.2,4739.56,4253.28,23651.17,23925.05,5216.99,1804.21,1967.02,2925.5,3695.5,4117.89,3452.72,3879.64,3313.26,21100.71
"H",20203.75,3305.61,5820.29,5199.91,6916.85,7218.43,7615.81,8110.24,10082.05,9441.75,24124.96,22512.75,9431.26,3963.91,5673.6,6501.64,7734.33,7585.06,8495.96,7827.34,7406.48,22281.56
"I",20341.8,7589.41,10955.09,12047.7,14435.15,13279.58,16305.67,17092.12,18367.93,18270.65,22959.25,25141.34,18635.53,9572.69,13067.74,13285.07,15136.21,15446.88,15371.33,14848.53,16648.16,23259.21
"J",22488.88,13898.81,17516.95,18197.41,19089.92,16576.73,20163.03,19830.98,21036.33,23448.88,23504.59,23806.55,20723.02,17272.4,19065.14,18933.96,21078.32,18112.42,20898.78,21403.71,20172.3,22547.07
"K",21773.5,13091.44,18546.41,18140.47,20188.4,16630.97,20294.52,20253.8,21048.98,22387.92,23486.45,23410.38,22011.33,18282.62,19053.14,19742.1,19709.86,20731.37,19673.92,18725.31,20497.5,23060.57
"L",20467.92,17623.5,18554.97,18250.54,20224.61,20338.63,19296.54,16970.24,22197.62,21869.75,23704.59,22951.09,24438.12,17029.79,19620.28,19085.96,20505.75,19628.19,18748.5,19886.58,20458.96,21450.44
"M",16958.2,17289.41,16016.22,15933.46,15188.14,17202.37,16793.95,17896.39,17746.18,19707.08,21212.13,22376.32,21611.53,13885.3,16200.34,19391.14,18654.22,19499.95,17146.97,20105.64,17697.39,20582.73
"N",15025.56,18089.35,14425.33,20983.55,19002.32,16676.29,16180.61,20842,21452.78,14196.31,17382.62,22339.55,17700,19316.78,18671.44,21279.1,20073.75,19533.27,19076.83,21026.34,18936.58,20876.43
"O",14483.71,20221.26,18115.59,19902.28,21043.21,20430.47,16529.96,21555.02,20237.01,20960.41,16432.54,18647.57,21866.43,23852.05,22422.86,23023.64,22980.81,22904.39,22304.9,22092.14,21402.56,16978.05
