"","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22","23"
"B",12399.42,17610.82,23500.61,23164.26,14716.05,13275.82,18880.89,19908.17,20567.79,16739.79,20335.56,19584.79,19676.97,15427.02,18593.23,19132.24,20327.5,21354.73,19139.67,21385.43,17887.21,17772.41
"C",15421.46,369.11,514,459.58,487.94,5420.52,12509.51,12468.07,13819.98,16711.6,19872.14,21530.18,12360.11,454.35,453.55,677.89,611.1,5504.82,10547.67,10718.57,12145.26,15833.54
"D",22679.46,521.73,577.52,460.16,868.74,7248.14,12800.63,10573.53,17560.55,16810.94,22030.3,23735.21,13575.26,528.41,423.97,463.49,1316.18,7932.33,10607.94,13839.51,13943.24,14808.58
"E",15501.34,452.41,531.51,674.76,811.82,8973.25,17854.4,18416.08,13660.38,16230.8,19514.8,20645.25,21307.63,843.55,550.31,805.28,1690.78,11216.26,17329.17,16906.56,19453.4,18073.16
"F",17944.66,455.75,595.84,1186.49,1517.95,11305.8,19282.08,21593.27,16759.41,15696.67,19727.94,17968.74,17774.97,678.04,657.27,1005.21,1491.71,10283.5,15425.29,19515.33,17951.76,21502.31
"G",20784.43,604.97,791.23,948.48,19220.71,14106.99,21113.63,20389.76,20825.78,24547.78,22450.46,22200.54,23863.55,724.92,845.28,623.07,1123.14,15563.91,18823.98,17324.12,21465,22099.87
"H",18168.16,635.13,574.24,577.19,1004.28,12542.43,20985.93,23217.6,22020.76,22037.85,25338.52,22885.54,24121.01,956.84,917.86,878.96,23332.26,16497.32,17631.2,22835.68,23535.56,18789.91
"I",21326.95,737.84,625.44,972.21,2259.95,14595.42,19769.61,18950.26,22809.77,18771.94,22319.78,21314.93,19934.32,798.67,816.54,817.82,2768.22,14947.75,19352.66,22678.44,21636.56,21167.02
"J",18963.2,755.77,775.28,913.09,1518.86,12686.13,19704.55,24857.33,20499.35,23289.71,22884.95,20841.57,18897.15,644.37,877.86,1105.64,1688.16,13782.74,20088.82,21246.41,20731.7,20105.47
"K",16068.37,565.27,679.46,955.09,2325.78,14047.88,21187.97,19018.22,20895.12,24667.24,19704.36,24895.51,20075.43,712.06,1052.94,780.47,1660.04,14823.02,19267.29,20272.7,22783.74,19959.78
"L",18994.77,753.33,1136.38,832.18,2293.91,15350.49,20171.43,20901.73,22772.15,23651.33,22749.71,20637.47,21400.04,607.92,704.5,1376.72,14443.17,15074.05,18196.41,22709.18,21684.86,22620.39
"M",19223.6,446.06,556.99,819.24,1273.58,11751.12,15680.21,13390.54,16822.56,18945.74,15739.01,14011.85,17979.7,619.97,686.69,1339.8,1454.13,10562.37,16823.46,16955.64,16998.23,18886.32
"N",17329.21,19409.72,18901.12,17585.66,18678.03,14043.79,20683.99,20018.56,17236.36,21267.41,19231.26,19033.6,20149.79,14178.67,18571.83,16858.5,16149.95,18577.78,18473.03,17981.26,18305.28,15879.66
"O",19207.84,12630.41,13663.26,20204.21,14510.31,18749.62,19649.33,16414.14,14588.92,17353.82,15597.92,19872.02,22003.46,22152.28,19077.11,22041.76,21820.39,15232.08,15336.5,20474.16,20039.31,18472.73
