"","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22","23"
"B",26487.83,23619.53,27452.03,29111.69,26024.18,27662.39,28420.49,32631,30872,27455.93,30607.33,29016.53,30754.62,27457.76,32659.57,28136.6,30051.81,27996.63,29546.39,31417.02,28854.51,30845.73
"C",32873.94,317.4,230.37,201.12,299.44,292.57,281.64,364.57,214.37,250.91,31853.7,34276.89,235.8,304.28,173.19,226.85,185.46,267.1,334.39,230.97,257.57,29543.28
"D",30229.81,218.65,272.45,238.09,315.94,230.86,265.63,261.72,394.09,289.13,33201.08,33081.33,295.75,248.93,207.36,245.73,240.33,211.09,281.96,231.07,313.35,28856.16
"E",31450.05,280.28,299.53,378.19,344.71,262.59,356.89,351.31,451.77,399.74,32729.88,30037.68,434,360.34,292.08,378.79,378.69,386.8,389.76,462.09,358.42,30963.9
"F",30068.66,415.41,477.44,406.26,459.82,535.07,540.37,550.58,678.67,653.42,28705.01,31372.07,569.99,454.01,578.47,708.33,424.47,400.58,589.27,524.59,634.43,29513.4
"G",33963.65,696.7,1102.43,1422.75,1411.55,1739.78,1975.36,1222.85,2591.02,1523.86,32432.98,30124.08,1959.33,900.4,1345.84,1415.79,1272.66,1225.19,1925.24,2069.05,1857.47,31462.61
"H",27192.06,4481.76,6007.65,7335.96,10735.46,10220.64,12760.08,12438.82,11641.56,12823.49,32740.29,33790.58,12547.39,5881.82,6434.76,8087.53,9616.43,11651.95,10474.11,7823.53,11065.38,29581.19
"I",32320.2,10760.83,11323.02,13766.1,15720.87,21663.92,28454.79,31929.47,32233.51,31847.28,36070.37,32872.78,33154.77,12604.16,12569,13599.61,17414.31,21877.83,30181.85,29832.29,29913.43,30556.53
"J",32423.82,11036.24,12474.03,13795.33,15023.23,20137.87,27973.22,32498.95,34038.28,32237.14,32668.36,35022.35,34903.47,13066.57,13599.43,14475.88,15853.74,24093.23,29791.64,33277.67,32316.8,34071.24
"K",28072,11219.54,12094.21,13053.25,13832.99,20298.56,32675.56,31655.48,30427.22,33107.62,33093.34,33220.9,32383.66,11798.93,12177.84,11468.85,13992.42,21641.17,27150.11,28924.58,30497.16,29952.18
"L",28660.32,10594.45,11287.18,11255.72,14737.4,19368.37,26989.57,29905.63,31278.5,31425.74,32124.85,31214.95,30198.15,13203.36,12265.75,13292.18,15776.22,20936.98,28360.1,28015.15,30474.24,31500.36
"M",31746.17,11532.1,12823.28,13188.71,14070.97,22391.05,29723.52,32666.66,30642.26,32999.6,30806.59,33536.6,35372.78,13051.85,12152.76,14241.08,16737.27,21570.13,25999.92,30753.01,31305.81,27949.41
"N",29284.95,24300.38,29598.86,30412.85,28571.32,28725.02,29668.86,33277.68,30522.47,30813.14,30785.55,30350.16,31634.96,30262.7,31233.36,30875.66,32667.85,30906.67,31713.84,30170.43,29566.62,30545.78
"O",32300.03,31593.13,33754.36,31628.07,31280.95,31347.87,32822.39,32944.99,32478.23,32378.58,32527.86,32455.35,30103.34,32937.93,29845.74,34430.56,32147.58,32271.43,32788.59,31020.58,29264.96,30600.81
