"","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22","23"
"B",20130.02,20085.98,21159.62,22493.17,23906.27,19054.42,21432.24,20136.13,25866.8,22469.36,22923.91,23123.9,21533.49,22708.9,24357.65,23106.14,22334.18,21489.09,20978.27,20453.73,21124.36,20807.14
"C",17422.52,1669.9,1134.59,1713.51,1905.38,3413.35,1891.66,2661.39,3097.56,2912.94,19612.4,21208.44,3478.65,1400.53,1283.69,1589.73,2018.8,2254.62,2749.1,2493.88,3291.26,21636.63
"D",13100.67,1325.66,1601.87,2242.5,1803.27,2776.42,4183.37,2639.46,4347.05,4911,23383.29,24933.1,6034.55,2804.08,1888.25,2187.23,3274.09,3330.15,3151.75,3774.57,3598.92,19424.23
"E",14683.37,2128.92,3267.78,2877.84,4643.2,5886.14,6719.23,8022.72,8274.82,11279.37,20621.23,20653.5,11459.79,3204.78,2561.37,3908.24,4885.01,5233.18,6188.7,7736.27,8846.84,18015.65
"F",16065.85,3810.34,2947.78,5005.51,5772.15,7469.87,10436.54,9860.41,11499.34,15788.74,17073.35,23147.38,16345.38,3489.15,4745.02,5849.14,7420.52,9158.4,10069.37,8994.92,12707.87,21634.57
"G",24698.66,8179.97,11265.67,13756.63,15817.24,16818.8,17799.05,19156.76,19684.73,21403.82,24106.27,24216.58,22719.11,8018.23,12353.01,13111.69,15580.27,16497.82,17129.49,18446.32,18602.29,22586.12
"H",21407.48,12868.91,17870.9,17990.36,17087.49,20432.72,20880.32,20193.58,20357.53,23500.42,22907.77,24131.59,20791.02,15814.8,18885.49,17933.41,19117.18,19864.93,19231.48,20086.59,22191.74,21587.68
"I",21368.48,17168.63,17454.4,19085.21,19725.78,20793.39,20553.92,22182.12,20023.62,24895.76,24866.7,25212.01,24185.8,17640.27,19946.63,20488.74,21533.33,18338.09,20885.22,20204.04,21580.66,23779.69
"J",19574.8,14972.34,17905.55,19983.41,18979.47,18394.29,20707.47,20866.8,19792.09,22144.85,24225.16,23037.54,24579.2,18174.45,20183.03,20755.59,20058.84,20509.68,19530.41,20513.47,21302.21,23061.9
"K",23776.88,17767.55,20027.05,20476.65,20890.69,20753.38,21003.01,20556.26,22703.36,25286.1,23373.95,23667.48,25138.33,18003.07,21461.44,21146.89,18916.86,20122.84,20035.5,21602.21,21726.58,24237.95
"L",21602.51,16504.24,19474.9,18072.66,19462.09,18227.84,20688.97,20938.91,20418.64,23208.42,21527.54,23581.55,24891.83,16994.54,19038.32,19277.7,19698.24,19863.63,19283.5,21279.83,19696.89,22927.84
"M",20754.01,15594.27,17537.42,18035.6,16677.92,16266.56,16909.98,13650.71,16267.47,17037.28,19156.13,20485.65,22041.34,16794.87,16116.74,18087.1,16897.44,17942.74,17906.83,17266.77,19443.11,22678.31
"N",21149.42,18783.25,19136.3,20650.07,20926.48,22625.23,18688.56,18707.87,21488.93,21298.86,20453.87,20050.99,21048.62,21089.54,19713.81,19498.72,21864.73,21774.98,19719.75,20833.53,20370.79,19946.89
"O",18395.14,21749.13,23640.9,22016.9,20643.4,23263.2,20203.96,23599.78,24339.35,24160.99,21168.39,21848.56,21526.8,21385.39,21698.17,23200.33,20269.77,25209.76,22687.65,22077.73,22766.74,19421.85
