"","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22","23"
"B",19544.41,12405.28,14425.46,19488.42,16013.62,17444.43,13997.89,19703.35,14580.66,17783.8,19672.9,16238.79,17151.48,17366.69,21291.64,15119.79,18338.58,18354.34,19220.25,18235.03,16012.23,20988.24
"C",18323.92,399.82,417.13,671.05,2484.82,6682.32,9717.68,12082.99,12514.74,13219.09,14912.03,15056.5,9791.99,475.16,513.77,803.52,1380.31,6573.76,6081.54,9583.71,8806.9,15945.11
"D",19411.98,410.07,446.47,690.89,1640.2,9435.22,16907.03,8630.21,8670.9,14295.15,15752.13,17932.14,14641.27,407.49,645.1,805.53,3144.78,12792.11,16153.34,9141.79,11190.19,16588.74
"E",16848.49,441.29,485.5,834.98,2329.73,10167.18,15215.22,16491.73,19312.05,17169.13,16128.41,19726.56,17700.01,792.12,595.95,1296.54,2813.95,9569.58,16953.73,17519.13,17070.34,21214.44
"F",14014.17,524.54,533.37,1271.93,2256.62,9674.7,13044.48,11359.83,13740.28,20848.18,20125.75,22050.39,17223.18,445.05,591.13,1256.18,4075.48,13140.52,14842.51,17882.45,18502.48,14866.06
"G",15765.34,853.69,772.54,1186.78,2717.34,16030.05,17235.97,21041.03,21383.14,25318.39,19056.17,25029.95,24272.77,831.55,819.49,1267.01,3696.78,12691.3,19457.46,20134.29,15957.76,16307.88
"H",13881.41,848.57,980.45,1101.59,3288.46,14543.34,18230.19,20809.6,23976.8,16029.99,23836.94,24983.45,22894.31,1129.86,931.29,1547.5,4040.35,14817.96,20584.66,22372.16,16860.56,21185.68
"I",17988.92,792.57,809.24,1012.41,3221.58,16280.37,19771.72,17636.16,21369.24,23956.35,22905.91,20686.25,24734.45,1022.31,647.33,1351.67,4580.84,15463.7,21550.62,25457.53,19522.41,16475.63
"J",13548.09,868.34,729.47,1072.36,2787.89,15109.54,19122.11,24197.09,24498.93,21420.34,22614.85,23859.55,21135.77,784.05,990.03,1359.43,4241.22,17459.12,22306.09,22071.78,21691.93,19630.6
"K",21519.89,685.82,845.03,1733.35,3498.31,14532.67,20412.59,18928.22,22071.96,23432.23,22302.77,22764.78,21321.09,850.24,1002.32,1081.99,3663.78,17866.71,17339.52,20287.56,20992.27,21915.79
"L",21031.34,718.53,872.76,1447.53,4306.51,13504.68,19877.71,20515.92,21139.8,23090.09,23706.51,19865.91,23311.38,891.72,810.67,1366.95,4375.64,14020.93,18934.1,21920.81,20851.62,21261.61
"M",16032.77,527.53,727.1,1008.69,2556.81,12657.34,17506.15,17331.16,18189.63,15132.26,24247.64,17366.05,17481.18,666.37,645.29,1060.39,2952.69,9342.7,15776.2,18542.47,13680.1,17768.64
"N",11287.81,11730.32,15867.78,17482.65,18655.33,14416.99,17235.42,17946.58,16579.85,18144.25,14437.42,18081.17,22581.11,18636.48,17514.5,16098.28,16774.24,16653.54,13799.04,19571.26,16403.68,18311.39
"O",13992.06,14481.2,16192.16,19793.1,17933.85,16050.59,17461.56,19077.12,14439.31,22358.89,15457.25,19478.23,17549.62,17927.54,21946.72,22869.77,21910.28,17754.7,19723.72,17617.37,17805.52,18994.36
