"","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22","23"
"B",200960,198160,228360,250440,258840,251000,187560,252400,258880,222920,276880,195080,283680,232040,266960,285800,229440,256560,238600,275480,244280,255720
"C",254880,2320,2480,2720,1520,2640,1720,1960,3400,4000,215000,223760,2800,2400,1480,1840,1840,1440,4160,2280,4760,260680
"D",165320,2000,2760,2200,2200,3720,3240,7000,5000,6800,242160,202080,3840,2960,1280,2400,1640,2080,2640,2440,4680,220040
"E",164160,2440,1960,2040,3320,7000,9080,9320,13560,15440,224840,223240,10880,1840,2160,2480,3560,6600,7200,24120,15520,253120
"F",193720,2680,1920,2240,9560,10920,34000,29960,37880,34560,257840,168440,39760,2120,3240,1560,8000,10640,23200,27040,33880,260600
"G",206320,4600,4800,4680,19680,17080,56440,92520,88680,84120,270960,200800,89320,5200,4520,4960,10600,33680,58600,88000,96720,236160
"H",208160,3040,3480,8240,25040,70000,121880,172200,153160,176960,229280,220560,204840,7960,4520,4760,24840,57600,106880,198840,217400,268320
"I",276720,7840,5040,6400,44000,120360,214080,264240,271200,267920,258000,286240,286920,3200,5280,5040,43080,122920,209040,257120,254600,267320
"J",250360,3040,3560,6600,50040,121240,227720,224440,266840,233280,258960,297440,263600,4840,5320,9800,54040,102920,178520,262440,241920,272280
"K",277240,5680,5520,10080,59720,126880,215920,265600,266080,250960,281600,251040,295040,5720,5520,10760,60560,124760,219240,219400,272000,274040
"L",237240,5040,5000,9880,32440,107000,209320,240840,278640,284760,267120,232760,281120,7200,6120,9000,38600,137960,207080,268200,245880,262360
"M",243040,6880,7440,9720,31640,118440,200760,195720,288120,235600,233720,237480,222760,9040,8840,11400,31880,107320,208640,217760,210520,228840
"N",285960,238360,243320,259440,242600,210400,210360,228840,287240,294400,204320,240200,227720,228360,235480,253960,246840,221160,214000,182200,209480,242320
"O",271160,294480,251440,249320,284960,264920,254960,263160,287320,263720,267000,222760,266320,252120,253360,268520,233400,267960,276240,269880,273200,281720
