"","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22","23"
"B",24737.29,14315.92,21460.7,23671.83,19797.85,17820.6,20255.11,25275.56,18858.65,25547.68,21913.09,21105.85,21051.72,22319.9,25439.66,26602.32,17561.22,26295.25,18515.47,20480.33,24362.17,22059.37
"C",22933.07,173.57,72.75,120.29,81.05,90.04,107.36,119.14,115.79,107.62,20266.68,15248.7,80.95,143.22,65.44,82.18,57.51,87.59,108.07,84.02,159.38,25141.54
"D",13454.71,159.56,63.01,68.51,53.43,733.95,96.85,105.05,141.81,130.83,20583.99,30668.07,116.87,219.54,197.88,55.32,48.81,81.27,93.45,103.07,96.65,25794
"E",20404.3,135.46,54.85,54.77,52.05,110.01,113.73,171.69,986.53,437.07,22679.1,23506.97,133.85,136.54,48.36,76.73,98.51,276.74,154.51,170.65,155.34,18513.29
"F",12645.88,101.09,45.41,56.76,50.7,148.59,236.16,563.97,547.96,998.63,24707.7,20668.58,1406.43,148.94,100.8,663.84,94.76,168.49,135.88,332.63,843.64,23165.5
"G",16201.76,131.54,54.38,120.91,53.22,238.3,453.38,1841.44,2848.59,3529.24,25993.63,24628.42,4573.03,110.32,55.18,49.21,44.88,283.52,619.38,1750.64,2050.34,21612.26
"H",18936.73,101.54,40.46,185.72,82.9,926.79,4426.75,7045.12,8473.4,16177.55,24849.29,25516.06,12262.59,107.32,43.12,47.61,81.48,990.05,2935.08,5792.37,8989.36,20898.73
"I",22889.61,63.87,44.93,115.43,299.75,3925.89,8386.57,19375.92,23834.99,27661.62,27840.53,26405.67,28591.8,83.23,45.27,109.7,214.75,5648.04,9461.51,20326.39,20833.89,23846.09
"J",20228.4,65.96,50.16,307.64,686.45,5827.82,9896.66,24168.4,27020.72,26479.49,27529.21,27770.88,27009.48,62.79,59.66,691.58,762.92,5463.01,10825.31,23541.2,24389.39,26062.39
"K",19456.6,57.77,40.79,313.96,732.39,4921.21,8295.83,18334.77,26667.29,24621.29,23476.56,25052.14,20617.82,54.8,54.06,602.38,858.09,3408.25,11543.1,20195.75,25973.65,15501.8
"L",16706.88,61.33,787.62,656.56,1449.62,5359.7,12316.19,21917.95,24280.5,21322.04,19693.12,21487.31,26155.33,59.84,89.18,645.38,793.19,6619.46,11857.86,15075.33,21223.78,21663.59
"M",20780.67,53.5,65.02,439.37,1681.68,4398.66,13657.82,25050.38,18652.35,28088.9,25647.5,25769.58,22971.51,75.86,88.96,1281.45,1929.15,6273.2,13675.23,17230.75,21900.87,22351.81
"N",17403.23,19672.43,20121.96,21995.25,22259.83,21771.23,21735.94,24936.07,23183.02,23489.23,24460.04,19337.91,25487.08,19017.98,24926.05,16417.31,19099.38,27655.96,25207.15,22616.73,21987.91,19670.83
"O",21603.35,22244.25,26685.18,23203.4,25068.15,27142.73,21850.76,22741.74,27685.3,27927.85,25626.9,24578.68,25243.88,28863.05,28754.62,28120.31,24653.79,25105.58,20441.92,24591.42,22914.53,23966.91
