"","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22","23"
"B",14579.28,18840.36,19203.94,22422.13,26306.57,25738.53,26799.04,21208.52,22516.62,25143.27,21846.49,22689.48,25560.9,23764.59,23029.32,22647.6,25054.95,23565.7,22231.05,18434.46,18408.35,21866.85
"C",20068.03,99.31,139.61,277.8,411.66,551.5,607.35,598.99,610.92,388.46,24004.13,18737.03,846.87,95.97,167.94,365.52,410.3,449.29,639.08,485.09,779.14,18921.33
"D",18064.57,92.48,203.14,381.25,824.7,1038,1055.64,820.41,1041.34,975.21,24169.3,19901.17,909.01,105.5,213.82,461.49,553.46,820.86,694.64,1178.27,732.77,23930.59
"E",22125.19,165.73,269.31,902.83,1215.01,1777.94,2593.02,1577.53,2505.04,2757.75,25862.94,23034.25,3005.68,107.7,351.08,778.85,1542.2,2445.9,1679.71,2085.71,3334.28,21299.76
"F",14076.43,247.28,459,1351.81,2379.12,3164.65,2526.9,4632.02,4639.16,4046.88,20603.01,28125.79,5462.42,94.66,312.37,1847.88,2609.83,2885.03,2926.25,3865.1,2956.66,22399.54
"G",22634.56,198.13,639.03,2433.72,3566.4,5516.51,7750.66,9611.1,12541.49,12383.38,24494.75,26328.96,12783,237.61,630.81,2732,4085.16,5226.1,6097.63,10337.65,10988.51,23957.34
"H",24732.46,347.91,742.89,2369.46,5321.93,8046.13,9891.62,20882.4,19919.1,24120.1,21272.41,25308.76,26278.46,312.41,945.63,2887.06,5364.64,6142.53,9780.34,22042.1,23656.37,21350.04
"I",22420.27,482.84,1008.95,4250.74,5110.42,7444.48,16922.43,27136.27,26296.2,25485.73,27315.51,27081.19,27040.21,540.82,836.97,4010.6,6990.39,7606.4,17146.5,24922.63,26331.43,25503.21
"J",23285,398.67,1225.95,4648.12,6005.05,7210.86,19171.8,25256.93,26072.86,26893.98,26751.76,25038.96,26147.31,578.47,1298.76,4158.67,6117.33,7511.38,18116.05,24011.51,26658.65,24329.82
"K",24983.66,544.58,901.25,3451.93,6244.83,7845.8,17721.04,26612.78,25407.85,22291.42,26813.57,26131.47,22905.6,573.59,1308.95,5345.28,5860.88,7728.81,18415.92,24291.66,26770.66,26313.93
"L",25111.94,534.38,1471.72,4610.12,4995.35,6878.29,14807.56,25192.72,23688.44,28193.26,28148.64,24167.63,22781.36,540.03,1020.9,4148.17,5972.74,8121.48,16786.23,23289.64,24419.61,25563.56
"M",21673.9,419.94,1292.99,4269.79,6597.16,6599.94,16229.01,24679.21,20073.54,27481.64,18933.49,26137.03,20773.13,565.71,1030,3939.62,4874.66,7220.37,15681.67,21879.4,19659.9,19356.73
"N",23242.9,22702.93,22463.79,18207,19779,22083.34,26097.99,28186.1,23137.69,24460.1,27374.63,24491.84,21994.85,24931.54,24108.97,24081.08,20020.04,21296.89,21156.1,24762.87,24713.88,22652.61
"O",23732.71,25383.36,22017,23930.96,20384.31,27631.05,26439.72,19433.59,23580.39,25591.67,24862,21376.23,21412.44,26294.37,24288.58,23382.3,26589.71,21986.92,25094.14,23595.07,24231.5,25430.28
