"","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22","23"
"B",10715.06,10255.33,10350.23,11463.32,10009.7,12595.66,10361.37,10298.94,13611.25,14489.91,13320.99,14249.46,10375.17,12665.73,10620.37,11487.06,14023.9,12844.36,12440.96,12301.11,10556.49,11401.97
"C",10245.37,1881.86,1708.05,1523.74,1196.37,963.33,1139.16,4479.78,4946.48,4001.34,9460.59,10677.44,4465.16,2113.36,2712.95,1430.34,1310.11,1506.14,1106.35,3199.25,4137.97,9598.43
"D",10958.1,2079.28,2352.47,2166.09,1107.58,1371.46,1927.46,5248.42,5268.11,5846.77,16918.27,9605.82,9089.89,2540.04,2246.87,1809.69,1283.63,1391.09,956.38,3911.88,5150.78,8561.14
"E",9311.79,3033.07,2409.52,2738.05,1362.81,1172.14,1999.58,9430.23,6403.74,9112.49,10985.79,16190.96,11759.04,2615.77,2561.6,1816.71,2096.57,1462.78,2111.01,7233.59,8144.35,12535.65
"F",10883.25,1822.33,2486.52,2352.05,1283.12,1481.44,2691.26,9728.63,8577.78,9472.09,8702.03,13682.91,10417.61,3147.88,2876.02,2282.23,2057.97,1182.74,2460.29,10678.69,10059.82,12630.08
"G",12327.1,2865.84,2642.55,2574.59,2405,1329.9,2822.5,10862.43,11230.72,9752.16,14251.4,12649.64,12923.42,3161.65,2741.28,2645.96,1912.92,1721.9,3919.93,10499.71,11394.17,12315.59
"H",10328.28,2593.03,2762.38,1871.79,2207.63,2038.01,2269.82,9459.04,8067.16,14765.62,12931.81,12120.33,13420.18,1906,3093.12,3014.37,2401.8,2054.66,3218.11,11011.56,12051.68,14382.46
"I",12036.35,3229.22,3450.48,3153.49,1935.56,2643.98,8310.98,14192.95,14624.03,15857.88,16113.56,15516.81,15609.25,3219.02,3200.02,2888.96,2793.63,2237.76,7685.54,11541.21,15359.92,14355.39
"J",11085.09,2295.76,1988.44,2920.94,1984.67,1892.41,3811.25,14863.21,9767.02,16783.93,15426.59,15668.47,15086.14,3016.83,3666.69,3565.11,2643.01,2136.23,4776.88,12821.37,13708.61,15938.18
"K",15992.83,3553.2,2791.24,2915.99,2409.9,2047.76,4912.74,14202.64,13604.49,14482.28,15450.41,15942.17,14927.14,3650.56,2386.8,3087.34,2910.53,2433.72,4127.23,13349.51,14610.47,15196.04
"L",13864.28,2883.74,3049.06,2865.88,2004.28,2458.4,5461.79,12953.71,15189.2,15541.12,15775.88,12521.4,14089.38,3416.28,3785.26,2908.58,2917.7,1712.46,7354.43,12628.08,14461.37,14453.31
"M",12701.65,2169.48,3177.82,2350.16,2456.61,2220.23,3886.59,12193.11,13056.78,13855.29,15847.32,16238.79,12645.16,3672.28,2894.3,3063.42,2195.28,2231.33,4578.62,12105.99,13106.1,14175.68
"N",12754.58,10293.56,13110.43,14201.64,13100.25,13884.27,13533.49,13702.71,11711.49,12472.06,14830.23,14579.67,11531.7,12891.77,15965.59,16461.35,14470.87,13215.83,15390.65,14348.97,13975.87,13384.13
"O",12292.99,11926.63,13010.7,12613.49,15022.02,13588.47,11881.98,11549.15,14795.14,12776.85,15121.5,13806.48,12194.51,13654.79,13268.26,13664.19,15127.38,13711.31,13443.99,13972.3,13125.34,12709.92
