"","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22","23"
"B",7569.65,8771.05,12139.36,7729.68,9277.19,10499.27,11171.63,10573.63,10811.77,12050.66,11318.2,11998.3,10912.06,10689.59,8393.43,14216.43,12976.92,13330.56,10362.26,14473.76,9106.8,11743.86
"C",9011.41,261.59,308.22,209.88,408.35,594.62,649.5,1043.63,2945.43,3420.66,8307.57,9344.69,6121.29,304.6,226.51,306.04,436.1,366.64,541.77,810.52,2931.06,12208.07
"D",10145.85,236.83,235.71,408.25,587.25,392.95,605.23,1987.19,3598.03,4783.67,10522.74,13735.92,6082.46,258.51,391.11,370.66,406.54,390.13,474.54,1600.98,2853.5,8082.58
"E",13049.43,268.13,237.93,435.39,344.61,522.97,660.88,6888.43,9639.53,8912.91,11672.37,13368.37,10470,323.6,296.67,504.64,549.66,433.97,627.6,6375.39,7342.65,13270.34
"F",13393.42,273.94,283.41,349.34,385.65,557.38,691.42,7100.79,9399.1,9941.99,8422.71,12065.66,9860.86,345.78,299.71,322.4,574.51,629.19,746.44,6274.76,9279.04,10516.11
"G",9344.47,342.52,284.8,289.64,540.74,507.78,1725.54,9468.48,9002.67,11906.32,12106.15,9636.71,9728.53,337.54,420.78,326.57,485.56,614,1468.57,9439.67,9210.18,13219.12
"H",11143.05,474.1,256.38,275.59,258.81,445.24,3263.93,11822.49,11703.15,11849.16,12628.98,12353.86,13289.55,302.13,261,263.5,393.78,492.98,3377.05,10321.14,10349.94,9270.66
"I",13344.74,247.53,357.15,398.9,386.38,755.73,7815.85,14116.71,12134.24,13159.51,16407.19,13788.94,12573.25,398.77,267.25,412.68,419.15,932.09,7311.94,14438.32,12537.19,13461.29
"J",13741.94,242.3,331.84,380.46,403.99,915.96,7613.62,14382.57,14362.26,15244.8,13617.82,13504.02,12383.53,466.96,268.45,518.56,341.33,1225.54,9198.4,14300.4,14145.49,14117.67
"K",11562.5,268.01,224.9,428.96,531.45,828.1,8961.8,14728.7,14332.04,14141.55,14049.98,14126.77,15316.36,286.79,454.41,425.49,496.54,877.98,10229.23,14596.26,13824.23,11993.9
"L",13821.14,267.41,328.78,349.14,468.43,1112,10941.83,12768.1,15537.14,11302.75,14614.76,12353.08,12979.28,366.51,424.89,428.17,506.28,1246.54,9530.6,13501.99,13720.19,12226.93
"M",13388.32,317.3,304.03,425.82,647.46,985.46,10878.94,12262.01,14307.17,11796.35,13934.41,13436.86,13671.6,303.62,394.51,366.59,558.49,1153.26,10225.65,14473.9,13881.36,14017.87
"N",8506.17,10367.96,10403.15,13830.24,12745.16,12181.97,9890.65,12929.69,13958.3,12780.95,15050.52,13246.16,13346.12,14256.02,13888.05,13931.47,14931.56,11451.48,13412.62,14514.86,13652.2,13729.93
"O",12102.89,8420.31,8394,12075.21,10605.46,8075.02,10666.17,13456.41,10362.19,13764.67,14169.17,14304.59,9917.7,12839.78,12388.53,10476.29,14191.84,14332.27,10402.38,8546.1,9854.23,13209.35
