"","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22","23"
"B",265920,199040,296520,186320,238160,206000,203040,249040,206720,256200,260160,186760,201880,224560,247040,240880,268760,186640,234760,270840,251920,256640
"C",183040,2160,1520,1200,1560,2160,4440,1840,3160,3400,257320,261040,3200,1360,1560,1160,1920,2960,1560,3000,4200,211560
"D",182200,1720,1360,1240,1840,2160,1400,1880,3600,5360,242440,175120,5240,1480,1280,1120,920,1200,1440,3000,5280,190320
"E",205640,2160,1120,1880,2640,1640,1880,5000,8120,16280,212240,205600,16600,1640,640,1040,1640,960,2520,5760,7600,208120
"F",180280,1760,1080,2440,3040,3000,1960,5280,20080,45240,242320,193720,33160,1040,960,1880,1720,2040,3040,13760,43960,194400
"G",250400,2680,1680,2720,4360,5680,4720,38000,93480,119160,274600,254160,123560,2000,2080,3360,2680,6280,3480,45120,83800,249760
"H",237080,2520,4200,7000,7000,5280,11200,124360,178680,242760,242920,252280,179760,2880,2960,3360,6040,6080,11600,138480,164160,245120
"I",222640,3680,2840,4000,8680,8400,14280,175440,281000,304080,270560,249480,270280,4640,2200,4000,5320,11680,13600,185360,252920,269040
"J",263760,2160,2000,4200,6800,8920,16800,174080,283240,240800,235560,243320,269440,4280,2320,6000,6640,5640,21040,202000,251160,265920
"K",283400,3080,3520,7120,5440,6280,28400,217000,242760,228720,245880,266840,255560,4320,5320,5680,8440,7360,26560,178760,247120,252000
"L",203000,3000,2000,8520,5560,9200,27480,201200,277360,273360,251520,236800,230360,3360,4080,5000,7360,9000,20080,203520,230480,243920
"M",256520,4040,5960,10240,6920,9400,27400,142440,175160,237880,251360,276560,228320,6960,6520,6920,7880,11560,20280,148480,222640,171520
"N",176920,225720,243240,190120,288200,277680,259880,258000,204680,218600,208080,236000,210920,186080,185360,192480,239240,179840,191520,249360,206120,185200
"O",241280,218000,252200,273360,289480,198600,257040,229960,261240,245480,237440,216040,249280,260000,275320,198320,235160,253400,254760,235840,265080,251520
