"","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22","23"
"B",27315,25101.51,26349.24,28578.43,20889.02,27193.38,30011.32,28651.19,33034.32,20366.81,25900.88,31583.64,29725.92,27124.82,30373.36,31234.45,26641.27,27770.81,30379.02,28339.63,20928.64,23450.19
"C",25682.52,626.44,1467.02,2829.28,5300.04,4920.84,5659.44,9971.2,13561.66,14873.6,24624.18,26489.18,28572.33,510.42,740.07,2321.25,5438.5,7473.76,5787.15,12541.13,21950.95,20512.61
"D",21178,810.84,1003.06,3052.43,6284.19,5693.5,10788.62,13284.36,16972.65,19268.45,19999.45,32056.96,22437.68,1037.01,1136.3,3828.34,6043.52,7042.58,6315.83,14346.84,18833.18,27295.15
"E",20958,971.89,1406.97,4912.52,9675.25,9027.8,12001.65,24703.32,23982.49,20342.38,29270.76,31615.33,31275.33,884.7,1190.06,4578.34,7774.31,9133.52,11473.47,21795.95,21991.84,27078.74
"F",27141.11,512.15,1370.19,7506.16,7808.41,7178.71,10765.13,18863.72,18589.24,22814.22,27113.62,27021.41,28535.21,559.02,1859.88,7396,8470.85,11042.73,13602.84,23414.21,27747.45,28423.23
"G",29107.58,1065.3,1497.31,7709.22,10307.31,11856.89,15204.63,25393.59,26525.08,29749.14,31622.99,32672.71,23646.32,1457.7,2255.96,6771.34,10887.07,10003.63,13703.31,25715.52,26235.69,29666.18
"H",24498.39,916.85,1197.69,5879.93,10942.44,10254.41,12824.26,26548.85,29044.7,29842.65,30556.63,28690.19,29122.46,1229.75,1668.04,7363.78,11857.21,11875.14,20739.21,17541.56,29530.71,27587.84
"I",31750.99,1235.46,2365.9,7864.37,11290.12,10082.46,18865.4,29536.65,29878.69,33307.06,31521.65,31607.86,31304.88,1528.14,2394.1,7980.02,11064.49,12174.86,16615.87,30119.73,29566.25,30793.15
"J",28796.58,1137.13,2467.35,5567.6,10931.5,13519.48,18598.26,25383.22,29062.79,29531.87,29662.31,32922.65,32073.03,1849.22,3085.25,7111.66,11650.13,12437.38,24835.53,25252.39,28925.71,30559.82
"K",31160.33,1116.92,2193.11,9970.85,11963.88,12437.71,20452.93,30236.95,26373.16,30408.07,29937.15,33178.65,31742.62,953.73,2463.28,10530.11,13342.93,10996.12,19610.8,27153.89,29244,28549.22
"L",26121.75,2514.87,2889.87,8629.46,10474.84,12376.42,18406.05,28344.38,30838.14,33355.72,34363.44,32889.66,32714.31,1635.71,2720.81,9082.36,13042.94,11739.03,19094.12,27912.15,29897.92,31193.72
"M",26248.35,1383.36,1379.69,8893.66,12989.78,13946.96,20429.25,27602.07,29652.47,27847,26715.37,29875.53,32396.39,1687.99,2374.98,8960.96,10092.17,11760.4,15248.97,28105.62,25322.24,30073.8
"N",26419.73,29909.96,24636.97,29490.95,28568.24,31854.43,27566.92,29960.25,28381.66,30547.21,28316.32,30930.46,27532.68,29543.97,31842.09,28126.27,29299.57,31522.23,28930.15,28518.78,29642.57,29965.22
"O",30263.2,29796.06,28154.84,30621.48,26970.56,30464.05,29071.01,32093.64,28735.84,31096.43,27060.37,33500.73,32534.21,23759.93,32454.36,30982.53,30542.48,28973.53,31197.11,30892.66,29468.81,28513.62
