"","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22","23"
"B",21651.26,25246.33,20718.24,21887.57,25435.41,23161.48,27756,22986.34,25114.89,24710.61,27695.46,26633.59,25488.41,26377.33,24518.04,26548.46,25283.93,23495.5,22055.07,23827,24045.39,23673.34
"C",21123.36,70.19,98.06,191.37,149.2,300.16,808.5,434.75,599.83,431.84,22185.14,23335.24,583.28,54.08,53.33,76.61,156.88,184.88,412.59,402.16,632.6,24803.64
"D",17823.28,65.09,55.09,111.9,128.17,353.6,403.74,522.99,635.72,897.47,18132.02,23408.24,878.1,47.24,83.13,108.78,159.22,232.16,643.9,485.05,758.57,21042.51
"E",24668.65,65.71,83.88,148.56,241.71,1209.07,904.86,1389.64,1440.06,2271.04,25313.86,25037.69,1859.84,47.55,62.64,153.35,198.07,581.58,709.18,1044.92,1940,24614.94
"F",22539.14,69.93,92.39,192.98,160.02,771.78,1369.16,1221.26,2887.41,4176.75,25193.46,21942.86,3793.28,137.34,79.14,176.15,387.72,550.23,1614.47,1687.16,2353.12,23101.3
"G",25698.5,67.32,190.88,401.18,485.33,1519.06,3172.32,5902.54,7310.34,9921.9,24710.61,25998.04,11336.37,53.08,111.24,366.9,291.44,1670.29,2766.87,5093.39,7799.13,26262.11
"H",26414.64,76.82,332.34,748.56,695.7,2800.13,7700.62,15648.91,17964.85,21121.13,25521.34,25689.54,20382.1,71.59,214.34,1072.35,852.54,2501.58,8618.42,14978.5,17337.79,25235.41
"I",21098.53,119.9,1781.31,2332.59,922.12,5329.7,13938.75,22264.15,25263.09,27267.46,25611.03,27459.96,28023.62,78.02,482.39,2331.01,1648.51,5512.62,14974.48,25028.92,26707.4,26258.79
"J",25264.77,280.57,1173.73,1985.16,1387.84,6184.47,15556.26,24898.38,25334.51,27149.35,26913.25,24229.23,26948.91,135.23,1224.59,1454.04,1583.94,5611.58,15388.19,25717.77,25327.4,26001.86
"K",24814.77,120.07,2294.78,1438.32,991.8,4837.21,14840.39,21869.82,26363.03,25391.37,25489.1,26628.59,22902.06,212.4,1682.99,1560.22,1469.47,4186.51,15999.88,23844.23,24230.55,26446.03
"L",26958.11,251.4,676,1727.2,1150.83,5842.42,16482.14,21414.83,25729.33,23505.28,27119.91,26180.98,24361.79,113.15,1725.59,1789.38,1005.73,5605.33,15652.83,24286.7,25608.67,25731.26
"M",25708.7,247.69,1885.94,1686.1,931.79,5247.89,13806.97,23690.25,23823.19,20082.23,24366.7,23166.93,26264.38,125.89,983.35,1901.14,727.22,5702.17,14533.32,23117.24,22415.43,24369.21
"N",16109.99,24026.39,24944.5,21652.45,23334.23,23099.02,25547.95,27553.55,21424.63,26264.99,24768.33,23905.97,25824.17,23489.56,25970.1,23233.81,23952.25,22013.18,24515.84,21899.51,24010.86,21717.77
"O",21690.9,26349.41,27048.53,16554.48,24309.1,22545.66,24778.52,22452.14,27655.36,24667.76,22675.12,26474.47,25065.95,24979.23,24047.31,24871.57,22494.19,25889.42,23600.24,23013.32,22669.62,24327.62
