"","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22","23"
"B",6979.92,6225.73,7411.59,6239.27,7562.39,5648.81,7044.31,8423.64,8588.26,7700.51,8384.83,6408.32,7079.03,7350.64,7634.76,8193,8256.19,7676.09,10269.87,8516.86,9677.56,8481.04
"C",5702.92,588.97,556.5,661.83,573.94,1066.92,1072.83,1677.74,2328.16,1757.18,6600.16,6455.04,1416.92,484.2,645.72,505.61,606.13,1228.1,1556.76,2022.89,1550.1,6129.48
"D",5543.93,935.88,662.45,736.46,529.07,1751.83,1943.12,2860.87,3137.92,2099.08,8234.96,6834.18,2191.86,823.48,564.55,613.72,722.39,1008.49,2506.89,1398.51,2868.43,5897.54
"E",5766.28,979.52,861.91,512.72,873.55,2614.81,3973.12,4708.81,4520.79,5502.37,7507.52,7986.96,3646.05,1104.99,752.51,736.73,1173.94,2509.62,2796.16,5558.84,4665.06,5988.44
"F",5050.14,893.77,841.03,704.01,1410.8,4290.48,3969.4,4816.6,3328.42,5963.58,6111.24,7435.23,6207.91,1030.66,1011.04,936.37,800.71,2369.89,3540.41,4334.6,4263.49,7538.6
"G",4629.01,1071.87,1351.24,1174.79,1276.31,4524.12,7972.57,8466.54,8818.01,6635.01,10638.92,8984.15,8693.8,1599.91,1426.02,1312.32,1470.33,2982.53,9270.78,7903.32,6351.84,6016.8
"H",6047.75,1584.27,1460.1,1279.66,1285.92,7317.66,7807.51,6561.04,11179.79,8093.94,8987.09,9797.26,12092.79,2041.1,1501.67,1199.81,1700.53,3529.62,9001.31,9537.17,7432.16,7803.84
"I",6669.69,1383.44,1718.95,1425.68,1203.75,5509.39,7171.99,11354.78,10008.82,11702.56,8530.54,7513.35,10839.54,1754.86,1890.83,1268.93,1738.42,4668.02,9601.97,11788.15,10158.48,7764.26
"J",6868.44,1766.58,1237.35,1159.7,1542.93,5318.4,9300.44,10259.13,8717.64,8510.39,8035.6,10275.93,8291.55,2227.29,1485.2,1677.4,1609.61,4550.9,8436.57,8890.08,9806.89,7285.43
"K",8111.54,1768.44,1454.28,1259.55,1655.02,3490.21,7394.84,8638.09,8590.93,7780.98,10267.41,8638,10766.24,2001.88,1408.53,1527.04,1479.79,5005.41,8352.52,7362.55,9856.53,7855.01
"L",9542.8,1582.42,1758.5,1515.35,1723.59,5341.05,9136.31,9404.53,11491.01,9821.77,8735.53,10016.13,10351.94,1674.57,1714.35,1369.95,1666.49,6263.73,9147.43,8237.45,9396.74,7018.32
"M",7263.47,1017.79,1079.23,1074.89,1538.88,3566.28,7115.99,7542.19,9163.9,8609.62,6845.94,8924.85,7976.42,1820.23,1390.08,1109.14,1715.8,3218.09,6783.26,5998.08,8496.85,8115.87
"N",6737.06,5069.12,7916.76,6493.76,7734.81,7420.77,7839.85,8990.19,7720.92,8670.07,7101.53,9599.18,9236.63,9093.29,8954.02,8116.39,8904.34,8961.38,9585.83,8665.57,7397.24,6939.63
"O",7963.12,7429.94,6730.85,5439.18,5567.89,9094.38,8702.99,8674.38,7751.7,9487.61,8816.33,9774.23,10644.38,8132.8,10322.88,8573.13,7356.19,7723.74,7163.78,8058.97,7334.2,7540.51
