"","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22","23"
"B",14155.01,16428.49,14351.92,19616.89,24391.06,24871.2,26640.48,22411.32,24918.62,20543.22,22954.21,20434.65,22395.57,24854.67,23223.29,21883.34,21304.01,24143.01,24016.38,22467.44,16263.84,14084.69
"C",12661.14,172.08,187.3,216.6,148.68,134.6,162.78,171.09,145.45,166.31,17916.04,26592.34,89.37,269.9,216.01,161.14,346.81,203.95,159.6,102.04,154.94,25204.22
"D",12610.84,196.86,295.91,258.56,297.82,267,144.08,159.01,150.61,102.03,16879.81,16939.52,274.83,346.19,333.38,194.15,177.13,205.24,136.65,92.94,175.81,15512.55
"E",19485.85,417.27,424.73,567.39,305.35,231.54,226.06,189.51,209.34,225.11,24984.06,22732.39,209.44,418.26,496.34,411.65,354.18,290.7,155.2,230.72,254.78,24942.17
"F",16743.46,489.97,552.13,591.79,430.94,625.63,483.6,1038.81,1066.66,1007.98,21508.05,21603.95,1099.56,822.29,917.32,451.72,686.11,689.24,534.94,778.81,691.17,19632.12
"G",23078,628.16,948.07,809.85,838.8,735.6,738.54,1407.54,4595.3,4611.6,23591.85,27833.87,4562.76,700.96,919.16,1220.82,957.58,1142.38,1275.38,2041.55,3299.02,18385.55
"H",18112.85,1543.96,1544.99,1121.82,1273.08,1337.57,2986.46,6817.9,9918.8,12123.4,24418.83,26180.48,13496.96,1073.71,1028.34,1057.07,1697.44,1929.8,1816.98,5678.21,8146.85,21307.68
"I",24405.09,1610.78,1669.64,1687.33,2099.98,1978.42,5818.35,14692.11,17561.76,23243.44,22099.33,26712.46,27120.18,1822.8,1611.31,1862.96,1719.63,26660.96,5347.19,15231.96,17516.99,24750.11
"J",23381.21,1718.67,2253.06,2024.47,2364.28,5436.47,4837.58,15324.79,25699.21,18804.41,28435.48,27143.93,24228.05,1744.17,2051.16,2327.87,2217.72,2124.31,5346.78,14854.89,21020.55,26757.77
"K",18791.16,1973.23,1894.91,2139.99,2022.87,2697.1,3964.04,16762.6,20462.9,24326.72,24668.18,20838.82,26495.3,2056.44,1578.79,1563.75,2510.59,2880.25,4720,13178.78,20456.82,19321.54
"L",23034.51,1768.06,1907.66,1632.78,1807.3,3183.34,6304.39,13891.63,23654.89,24552.34,24375.94,24799,21204.42,1954.35,2143.18,1938.52,2492.78,3270.14,5077.17,15483.9,15777.25,20918.48
"M",22108.34,2071.02,2356.18,1986.39,1992.21,3642.13,4204.7,13377.41,18235.38,22082.79,26426.73,21743.45,23635.7,3234.86,2764.83,1989.59,4723.42,4076.2,3436.45,10030.79,19661.87,19343.98
"N",18693.02,20086.18,21270.66,24244.68,20227.06,22088.79,23740.94,24866.35,21999.86,25785.01,24240.21,25638.35,23580.22,24438.11,23246.86,23080.42,24330.36,19771.42,24207.08,23367.44,21716.97,23036.79
"O",19070.43,19461.78,26545.91,24963.54,25795.56,27103.3,27654.99,24706.06,22552.14,27133.27,24075.2,22384.36,27260.68,26124.04,24172.32,28049.84,25091.64,25759.51,25955.8,26301.77,26550.95,25389.22
