"","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22","23"
"B",23414.15,19214.14,24966.48,21054.09,19842.89,25203.53,22574.22,18760.2,28017.22,22568.07,23995.08,27631.91,24398.35,23548.74,22491.86,25802.3,24413.27,24883.83,18458.7,23918.11,24482.78,21320.17
"C",25473.64,117.32,100.68,109.93,91.45,128.63,105.43,103.44,95.26,92.44,27359.2,22087.07,105.71,116.91,98.64,96.38,89.31,81.09,88.34,87.1,83.97,19764.41
"D",28237.92,157.56,115.55,128.69,109.82,129.93,107.33,105.25,100.32,118.12,17387.94,20797.96,132.29,100.63,99.57,169.84,128.16,80.89,95.68,126,171.81,16044.41
"E",15256.01,242.52,169.44,227.86,216.15,212.14,397.17,206.89,244.74,206.47,27249.45,23770.75,243.3,232.39,121.41,109.84,177.38,230.18,247.2,179.23,316.15,27023.31
"F",21676.19,492.94,365.04,766.88,764.62,655.5,1127.97,1009.81,844.67,789.94,24347.27,20132.23,1400.61,475.01,647.09,734.27,1251.32,1435.05,964.02,1552.07,1158.81,26399.14
"G",27177.07,1111.28,1085.2,1934.95,2325.96,2816.29,3478.38,2900.51,4124.56,4733.96,20241.06,26266.46,3137.54,1170.22,1590.69,1992.34,2663.59,3771.52,3102.86,3239.63,3857.18,25153.36
"H",18803.83,5889.45,9280.3,8367.29,10549.05,14608.34,11993.14,12160.88,16322.34,17306.38,25536.45,29006.62,14044.41,4593.81,10699.57,12553.49,11685.42,16005.25,16306.43,15719.14,13961.59,25669.04
"I",28458.96,13736.82,18012.47,26381.1,26628.44,22252.83,24296.87,27098.09,28288.93,26114.62,27292.17,27576.5,30434.21,16225,23617.1,24258.54,28580.4,25389.01,25693.75,27675.29,26089.63,27291.97
"J",28117.16,14213.05,17261.89,23597.84,27683.96,23365.92,29331.95,27357.14,29248.27,28653.6,27838.53,28007.19,30396.6,18923.39,25497.69,25950.66,28948.52,27045.59,27896.71,28726.45,28165.36,29413.52
"K",25731.05,15443.02,21322.68,26397.98,27306.51,24302.28,26370.9,29663.87,29273.95,27395.88,28514.51,29546.73,26307.29,17134.77,24187.69,26543.82,28498.73,26035.61,28953.36,29452.44,28019.59,28648.39
"L",24769.68,14688.48,20654.74,27362.41,26705.58,27915.63,28700.14,28121.39,28041.52,30451.13,28464.71,29530.15,24491.38,19002.66,26482.39,27890.06,27364.05,27817.07,25857.8,26384.43,25756.63,27642.08
"M",24123.19,9846.06,16128.22,22633.92,19706.54,28716.08,27255.5,26708.44,25467.4,27709.96,27726.11,24628.34,29022.72,16164.34,21090.67,24983.76,28309.78,24876.28,26327.3,25559.55,25858.2,22340.64
"N",22593.8,24949.58,18487.02,21931.62,26915.74,21540.55,28737.05,21329.09,24344.7,25435.48,26597.86,26079.34,25796.14,25704.43,24095.66,25488.45,23343.24,25249.09,24421.62,21224.5,26349.15,22444.05
"O",20893.08,29033.75,24816.48,27487.59,29775.1,27482.24,27741.68,27456.79,26576.22,30115.25,28316.91,25755.02,26764.48,26714.57,26533.29,28588.89,26483.59,31306.59,27728.71,27877.37,22433.66,28653.01
