"","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22","23"
"B",18886.65,18887.05,27203.57,20117.2,23010.91,25044.32,24436.05,30088.87,28537.33,27209.4,24828.58,33151.26,30367.81,20485.74,28946.44,27337.71,27854.35,29014.79,30349.8,25637.25,29817.88,30971.67
"C",20789.31,878.64,1182.44,2176.52,3353.98,5869.76,14121.65,14156.43,19024.35,16109.72,26059.48,25596.8,19847.65,811.58,1287.13,2829.99,3846.49,5887.1,14002.04,15402.99,15482.42,23363.69
"D",21774.94,662.37,860.82,2113.67,3072.29,6494.19,13654.25,22330.81,27932.6,29015.6,17767.71,21136.65,17311.54,901.59,1009.54,2074.28,2961.06,7863.13,24714.03,17152.68,16857.54,20648.91
"E",26213.75,1055.81,1730.04,3622.69,5240.89,12755.63,21839.52,19593.79,22975.26,20262.71,30992.49,28856.6,27934.59,1001.8,1682.81,4303.1,7294.12,14150.64,27391.94,25433.06,27154.13,24525.02
"F",25205.53,1170.41,1305.07,2706.19,6035.42,14649.75,24333.61,19416.57,23018.04,20067.38,23987.09,25724.89,27485.93,1518.15,1636.61,3574.8,7139.77,14486.68,28592.75,25536.74,27017.96,26147.78
"G",27608.58,1585.35,2247.18,4810.53,6234.91,20078.97,28923.49,22761.15,29228.31,28414.27,29530.75,28213.65,29442.37,1400.52,1393.56,5118.17,7213.89,22624.81,26394.99,27597.66,28236.16,27683.08
"H",25713.2,890.34,1427.82,3900.13,7601.75,21142.26,25512.9,24248.57,24147.23,29403.32,22678.87,30235.16,28063.69,1709.11,2081.76,4849.49,8447.45,21486.87,26037.7,28797.38,27776.24,25189.44
"I",28585.19,1759.3,3496.03,6079.37,9779.45,24529,29683.55,28206.61,28902.24,28471.25,25495.66,31947.57,31755.34,2694.91,3210.94,6667.27,10019.83,22623.58,26548.7,29412.43,28398.56,28522.55
"J",26576.88,1901.49,2456.69,6147.13,9800.75,25593.86,29735.44,28699.8,29149.83,28396.33,25944.67,29851.93,31365.09,2512.61,3602.9,6025.21,10716.05,25958.09,28176.15,31386.27,30748.18,26991.21
"K",29979.29,2253.92,4327.42,5168.87,8857.85,18030.02,28507.26,27230.5,29701.49,31105.47,30697.45,27345.83,28973.13,2397.03,3926.18,7104.45,10505.24,25464.17,26580.31,27453.34,29095.02,29652.59
"L",24467.5,2388.91,3536.38,6807.61,9327.3,24613.04,29872.43,26992.18,30963.84,30591.23,31548.27,30511.73,27880.61,3408.71,5171.25,6453.57,10289.78,24639.51,29153.08,30561.3,28115,29468.04
"M",29248.8,2130.35,3818.86,6613.46,9215.94,23353.29,28127.16,29098.3,30656.12,31148.93,28893.1,29697,27678.38,2882.38,3724.49,6190.59,9083.79,22033.06,27605.4,25464.34,25263.14,29758.6
"N",29992.82,21903.18,26357.96,30476.27,22351.39,29155.82,27924.25,22390.97,24326.63,29524.13,29155.57,21120.28,27602.51,27106.15,24475.85,26881.82,29722,29320.91,26030.27,26345.22,27050.98,23216.06
"O",26057.67,28815.45,26924.21,29344.29,26487.71,29871.91,30227.36,25306.3,30727.44,30002.93,22228.06,27227.37,33373.54,29791.05,29804.18,32827.65,24075.34,28639.26,28420.74,26835.1,28662.97,28318.14
