"","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22","23"
"B",21491.24,16613.78,18929.41,18352.91,19798.88,23777.86,22556.31,19871.08,19932.55,21404.05,17362.39,23194.62,24239.29,18424.79,21992.44,22060.01,23745.37,20100.08,20768.35,20591.73,22124.9,16142.87
"C",19392.5,82.02,135.95,283.49,302.74,760.61,2495.22,4105.45,3680.13,3909.39,15520.65,21003.58,3730.17,96.42,127.56,190.16,244.28,1334.26,3519.34,2754.5,4208.82,17272.46
"D",18129.62,86.16,207.91,326.94,229.66,1994.35,3723.35,7121.67,6276.95,6374.04,26653.52,26279.13,7865.64,53.69,66.07,79.27,447.43,1638.12,4656.81,5711.17,5575.49,14591.14
"E",18514.37,85.87,105.65,279.05,839.65,2177.54,8090.83,10411,13764.27,12387.97,16638.71,17863.58,10545.65,55.08,185.31,399.11,1163.43,2674.06,8828.48,7793.14,10825.24,17742.5
"F",18846.67,95.77,136.72,334,703.39,3699.67,7175.48,12897.69,10511.2,13554.02,17121.8,16706.43,10833.57,49.18,260.51,634.93,1580.12,4138.35,11655.07,11822.28,10390.12,23257.92
"G",19682.54,108.17,373.69,1454.73,4419.64,6734.35,18653.22,21751.59,18743.98,22488.27,26827.29,25298.43,18798.69,149.68,373.1,1389.05,4097.82,9354.68,16247.04,19357.93,18898.38,23468.96
"H",19636.84,224.7,477.43,2178.27,3063.69,9445.22,20564.82,21052.59,23572.53,24719.91,26737.08,24410.37,24866.92,188.86,417.47,1906.22,4503.19,10950.35,16475.85,21845.3,22628.94,23795.81
"I",22282.97,309.59,659.57,1284.55,2405.34,11800.72,18673.13,21226.55,21824.12,24066.66,25477.37,25761.68,24838.09,546.19,987.62,1406.74,2735.56,13030.2,21983.12,20548.41,20503.86,22193.46
"J",22471.26,515.08,829.25,1623.68,2664.96,12033.51,20663.24,24301.17,23135.15,22620.27,21373.87,21730.19,23853.59,659.58,870.25,2042.4,2101.07,11601.74,21599.47,19661.81,18793.67,21003.6
"K",19825.97,623.27,1213.77,2037.81,3086.9,14091.55,21749.2,21875.16,23019.51,23498.23,22922.48,25678.94,19208.18,759.67,1319.99,2135.75,2540.11,13889.87,21919.8,24290.61,22569.39,22665.57
"L",22442.68,897.88,1082.55,2279.99,3143.62,13112.41,23686.3,24187.08,23569.31,24756.31,23309.91,24648.97,22317.06,903.68,1342.73,1783.78,2683.25,14103.65,20726.58,23001.99,23298.65,22995.28
"M",22554.08,641.97,1232.76,2040.78,2533.17,13150.26,21635.96,22023.14,16070.19,19619.02,23338.01,23303.79,21552.91,850.24,1118.43,1809.67,2032.05,12581.63,19434.81,16396.97,17315.21,17291.08
"N",17683.94,20348.11,21685.53,18172.65,20897.06,20278.52,21392.48,16313.63,19545.04,22231.94,17832.69,19393.01,23390.79,21878.29,19987.08,20779.18,17576.39,20228.02,17162.44,20874.42,17570.31,19640.11
"O",21914.69,19438.55,17259.41,16938.9,22963.82,16561.92,16275.96,23308.43,19213.53,21616.45,23554.04,19000.45,24758.5,24421.63,23098.51,20421.37,18520.65,24210.41,21892.52,20378.8,23575.42,22360.5
