"","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22","23"
"B",7510.33,8815.23,7419.92,9680.26,7764.76,7454.98,8431.69,9085.07,8096.43,13346.17,10337.87,11082.38,10676.16,9665.52,11334.76,9813.09,8155.78,7257.02,8563.96,8102.12,7998.31,7523.11
"C",5301.75,353.03,326.26,267.36,397.23,456.35,693.77,714.25,573.05,768.1,7303.6,6952.17,576.8,545.57,293.16,313.77,484.91,541.89,842.28,445.98,617.48,5343.68
"D",7250.09,294.18,250.79,254.55,362.16,423.86,447.51,375.51,714.72,541.33,8232.36,7752.68,488.63,358.45,192.41,262.05,359.1,480.99,561.5,431.4,430.62,4607.27
"E",4596.29,330.21,297.63,259.41,318.6,347.55,453.33,678,866.22,572.32,7267.95,8011.28,548.91,359.78,334.48,301.93,374.71,480.89,539.89,600.65,691.86,6196.71
"F",5657.72,302.6,241.54,235.16,331.88,528.57,531.45,543.17,830.64,778.31,7241.04,7350.48,866.74,202.55,199.06,309.04,434.94,418.37,441.93,581.87,619.64,7393.97
"G",7604.83,356.32,318.85,514.51,450.91,650.81,811.69,928.09,806.14,1014.64,7556.38,8989.52,989.38,323.45,410.57,393.61,602.94,624.04,786.77,901.08,922.47,7478.29
"H",8173.63,325.39,301.09,607.72,532.41,834.41,963.76,1424.61,1776.49,2200.82,9846.59,7897.01,1872.54,404.89,410.8,501.82,627.51,784.42,755.59,1425.53,1747.53,6030.76
"I",8373.43,338.19,334.86,423.96,472.57,803.62,1015.08,3213.76,4446.22,4252.08,8955.18,8788.87,5180.37,326.69,513.23,578.79,521.63,724.43,986.25,2674.24,3669.17,4680.26
"J",6945.84,328.23,311.89,527.87,493.88,572.7,1666.46,6091.66,8757.54,10790.45,8226.7,8741.44,9434.66,326.8,478.71,533.41,532.27,637.26,1403.44,7118.7,6630.89,7287.66
"K",6678.52,357.5,340.79,512.39,627.71,810.17,2337.61,8866.08,9704.98,11612,9988.03,10254.38,11915.75,354.32,314.48,498.81,554.1,751.49,1779.86,6822.01,7459.28,7586.99
"L",10048.12,304.18,300.4,519.25,584.68,816.17,2149.98,9842.32,11762.83,10284.7,9446.12,9470.91,11483.42,347.27,419.97,532.13,749.12,906.11,2012.05,8394.24,10265.91,6167.76
"M",8222.82,281.78,302.71,488.43,410.98,852.33,2189.83,7789.34,6581.67,7997.76,7266.36,7920.86,7297.47,255.19,386.72,480.86,616.42,945.8,2030.02,7316.82,8391.78,6925.8
"N",7021.37,8136.24,5515.2,7125.61,8962.12,9108.71,7979.32,8859.55,8529.59,9354.68,8910.23,7246.31,9224.93,5635.16,8612.52,7747.94,9696.14,8233.97,7338.52,9648.5,6764.03,7285.09
"O",7913.8,7454.68,6806.13,7989.52,9576.14,8387.44,8060.12,6338.46,9096.82,9721.03,7031.77,6822.34,7963.04,6560.09,7115.05,9308.23,5954.21,8059.87,6896.06,6917.96,9074.57,8917.49
