"","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22","23"
"B",10259.11,7890.44,9557.25,10760.94,8167.26,8645.87,9117.33,10003.97,9041.75,11654.11,10069.82,11802.8,9621.68,9796.05,9312.18,10081.8,11325.56,10047.52,8887.26,8989.51,9335.32,11735.9
"C",8404.78,48.79,76.16,92.86,105.54,378.21,878.12,2130.21,3379.04,3198.27,8306.79,8352.78,3804.53,41.86,75.96,109.23,100.89,340.7,748.3,1554.99,3831.59,10603.64
"D",8342.78,62.36,67.77,101.33,246.26,620.35,1034.67,3350.46,3420.22,6449.75,7651.14,13491.11,4916.85,67.59,85.46,101.57,318.36,440.2,1295.85,2210.61,3530.01,8887.21
"E",10707.79,82.58,74.39,93.48,147.26,719.18,2093.04,5893.81,5263.57,8083.98,10888.27,10420.36,10186.35,110.22,259.31,164.12,540.53,1162.25,1663.47,5080.54,6839.66,11190.27
"F",11935.22,83.85,75.33,94.09,212.24,959.35,1811.02,4791.6,8094.76,9730.52,12570.88,10636.67,10416.98,84.3,45.1,178.36,147.88,1477.35,2404.6,5793.33,8132.47,11608.8
"G",12438.77,40.48,46.45,77.59,162.25,1450.05,1929.55,6703.28,8918.76,10719.76,11332.29,12315.94,10075.15,76.67,84.21,158.81,270.06,1481.55,1927.46,8032.19,9428.53,9456.35
"H",10227.1,46.3,75.35,118.81,301.12,1776.82,2857.41,9465.67,10912.37,11660.41,12554.17,11562.86,11403.35,73.53,43.23,117.24,199.82,2179.84,3819.39,9104.37,10749.34,10973.24
"I",10999.75,38.79,90.45,89.03,425.78,3019.17,3522.68,9442.14,11472.48,13254.9,11589.66,13097.46,14022.49,101.91,124.96,142.19,640.17,2798.82,4689.4,10455.65,11752.62,12073.43
"J",12157.71,77.29,93.82,133.89,558.66,3083.68,4817.16,10156.79,11868.27,13657.81,13852.05,12526.17,13456.62,61.07,73.7,133.26,556.99,3470.96,4623.54,11209.83,11808.98,13382.65
"K",10202.88,98.41,122.09,143.08,589.21,2780.89,4542.85,10046.89,12459.84,12649.28,13162.98,13843.53,12464.91,97.71,152.62,106.72,600.44,3017.04,4670.18,11006.95,11361.81,13303.67
"L",12990.82,81.86,79.28,156.11,445.59,2541.64,5797.73,11950.7,12574.43,10340.15,13227.45,12950.5,12941.58,109.32,122.65,178.74,546.35,3099.98,4954.81,11060.54,11249.81,12525.16
"M",12676.89,89.44,75.87,132.82,547.82,2995.32,5242.05,8783.83,9325.04,11588.07,12375.93,13111.21,12378.2,90.06,82.18,138.69,427.92,2839.09,4794.46,10375.15,10946.75,12325
"N",11180.26,7753.59,10301.56,9794.35,11941.78,11959.55,12733.59,12756.4,13176.18,12173.11,12222.45,11097.98,12075.33,12939.84,12633.3,12214.99,12920.6,12608.69,12781.08,10710.94,12417.63,12088.52
"O",8472.67,11277.13,7899.42,10900.57,11611.09,10386.48,11119.67,9607.97,11524.68,12081.93,9902.16,9528.13,12310.49,10428.29,12618.44,12536.61,11583.79,11219.55,10619.53,11518.43,10927.54,8557.64
