"","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22","23"
"B",24187.26,27850.9,27546.04,27314.23,28727.92,27141.22,28390.79,27409.31,25592.92,28155.39,31631.3,26323.05,34247.79,26844.59,26797.02,30995.27,30514.52,26775.57,31065.61,26178.12,26697.85,30091.51
"C",22678.05,788.4,1075.95,2417.01,3420.72,10737.63,11194.8,17336.38,23724.29,19519.36,22302.69,24695.66,22328.46,881.04,995.79,2631.87,4416.01,5136.89,18121.61,14200.05,19046.83,20420.19
"D",20731.98,1098.65,1055.18,2259.82,4072.63,6511.92,12463.46,18412.56,20087.94,26103.87,21051.07,27825.92,18807.63,856.39,907.21,3886.59,3460.46,10471.74,24081.77,18101.82,23097.39,22523.8
"E",22486.75,876.07,1278.78,2925.61,6103.43,14343.48,26113.39,20030.06,28703.68,22751.45,29758.03,30330.93,25385.44,864.3,1377.05,4501.68,5941.9,17118.49,24571.67,26767.26,27965.33,27668.27
"F",25772.61,748.66,1375.71,2810.37,4692.06,12496.15,23512.29,26565.18,22622.81,22431.91,27676.53,28007.73,27450.8,1145.72,1411.03,4128.95,5238.74,20287.08,24458.88,27259.64,24720.15,29636.15
"G",28338.92,1258.1,2252.78,3752.8,6449.94,21492.19,27569.97,28221.07,24951.46,27820.48,30066.87,29393.59,32293.36,1450.67,2354.51,4450.6,5563.05,22488.14,26559.37,27855.4,29695.56,21437.41
"H",21135.62,1227.95,2052.04,5449.72,6985.5,21191.99,26079.78,29052.27,29568.65,29431.56,32825.83,29186.29,29565.16,1847.17,2091.45,4225.89,8305.33,22349.39,29185.92,28404.63,28807.93,26819.37
"I",29203.16,1809.47,3623.45,5590.64,9088.35,24565.86,29922.45,31636.46,30237.54,31244.54,31831.85,31478.49,28683.8,2387.21,3953.66,7045.33,9069.97,26493.31,28171.24,30666.81,30619.16,26697.54
"J",27638.56,1975.8,3590.01,5339.65,7803.78,25007.6,28754.28,29932.08,28845.66,28639.7,33775.35,31574.23,29540.87,2166.9,3997.71,5780.26,8978.98,26503.56,30462.66,31425.83,29858.36,29857.19
"K",27869.82,2020.48,3658.62,6489.35,8996.32,25528.89,30175.87,29602.76,28098.33,31203.62,31306.24,29924.48,27779.57,2173.13,3483.16,6451.59,9901.33,26261.85,28921.3,29882.56,30090.02,31198.66
"L",30805.7,2045.36,4087.21,6318.91,10716.13,24406.68,31495.06,32095.71,31516.37,30430.12,31141.33,30503.68,32493.22,3441.88,2907.59,6150.06,9156.3,26702.28,29227.06,30584.24,30122.12,32623.51
"M",31221.09,3332.23,3529.89,6202.08,9524.49,24550.07,29409.24,31902.92,31523,25820.2,32111.09,28274.2,29173.43,2388.15,4370.39,4613.84,9402.65,25145.37,28345.87,27777.33,24808.5,30959.91
"N",24345.33,28026.61,29605.49,27272.72,28932.42,30273.78,31596.5,30346.97,30078.71,27542.87,30860.05,30544.64,27623.86,29105.67,31227.09,29832.51,28729.17,30536.44,24649.15,25041.27,24946.65,23525.66
"O",29249.67,27722.12,25738.49,30088.09,28834.06,31917.47,33406.21,30157.92,24628.18,29036.8,28553.79,29392.43,32166.78,29518.61,30629.59,33417.11,32468.49,32104.76,30993.58,29382.71,29875.86,30743.99
