"","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22","23"
"B",5168.1,6207,5303.22,6027.2,5719.61,6200.29,7528.15,7755.43,5011.82,8140.55,6117.3,7030.15,7973.68,5800.39,6024.72,5944.48,5777.42,5656.04,5105.15,5999.25,4693.95,6541.75
"C",4939.76,119.03,105.93,189.11,224.46,420.56,423.72,719.44,820.04,655.88,5015.94,6890.87,746.58,179.18,168.45,292.87,170.26,544.27,374.49,545.6,535.05,3423.84
"D",5009.11,84.19,137.88,240.6,597.32,364.43,408.32,384.03,551.19,521.53,5499.1,5305.38,743.83,117.63,167.59,268.37,367.13,360.04,529.64,545.14,479.82,3514.01
"E",5047.8,127.49,89.3,194.86,275.88,318.56,456.07,631.41,636.37,469.96,4569.69,4653.99,552.66,117.92,96.44,340.71,333.5,407.14,453.2,503.29,526.69,4534.69
"F",4038.43,105.36,135.6,193.75,216.36,492.83,696.83,707.93,652.64,822.87,6151.54,7826.66,806.44,126.68,152.72,227.11,639.12,525.25,456.92,710.4,596.18,4492
"G",6978.28,146.56,227.97,229.32,800.7,656.06,793.82,1268.02,1063.2,1065.12,7664.36,8152.06,1131.54,168.92,176.73,255.52,285.32,669.26,884.7,704.4,951.47,5332.59
"H",7145.46,174.33,240.72,347.54,383.68,675.27,1018.36,1259.56,1599.15,1751.5,6262.48,7590.16,1960.13,180.68,220.18,406.6,527.3,667.29,861.97,1791.55,1517.52,5632.89
"I",6107.04,159.63,242.42,256.11,388.13,824.36,1294.03,3354.11,4572.58,5309.19,8134.11,8700.7,4845.56,227.19,211.54,319.75,296.99,760.23,1190.84,3307.18,3562.74,6672.63
"J",5797.63,168.72,271.75,325.2,367.36,701.86,3003.74,8046.65,8992.56,11965.39,8553.1,5924.09,8822.34,207.56,204.07,347.31,456.52,792.81,2970.24,6662.83,7741.63,6845.15
"K",7251.34,199.07,329.64,283.55,357.42,731.51,3111.87,9252.49,9681.02,10000.75,8803.81,9312.63,9243.53,255.88,199.43,524.46,348.98,727.66,3208.97,8456.7,8545.32,6537.14
"L",7756.74,168.28,255.2,294.13,369.17,1078.58,4835.14,13014.36,9938.94,11374.46,9715.64,9489.42,11179.36,224.31,275.37,308.98,462.43,768.61,3464.25,9565.76,10882.18,7302.24
"M",5629.71,166.08,180.36,387.29,385.63,709.4,2989.71,7413.66,6742.03,7700.12,9002.44,6965.39,7344.11,177.96,224.59,345.57,367.03,806.54,3973.16,6823.12,7587.37,8264.29
"N",5608.89,7562.18,6394.53,6841.71,7688.84,7967.97,6808.35,6466.54,8127.54,7410.4,6753.98,8778.53,6909.5,8285.42,7294.55,7411.79,6642.24,6391.93,7252.17,7154.93,7267.28,8092.75
"O",7068.28,5680.93,7135.66,6539.9,5324.65,7743.25,8718.47,8314.84,8965.1,8203.34,5567.16,7111.29,11286.92,8075.78,8054.4,9586.76,7938.21,7690.45,9068.38,6106.16,5933.06,6453.5
