"","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22","23"
"B",26294.77,27976.68,24590.56,22962.7,29806.84,28633.96,24389.62,26277.59,31206.36,25490.46,29833.08,25909.71,25305.61,25864.89,26131.45,29127.81,30193.68,31346.16,25010.98,31550.58,21341.09,24749.3
"C",27188.59,559.41,1123.08,2367.85,3037.24,4248.94,13015.49,19280.74,18263.35,17375.45,24880.29,33011.22,19194.5,772.74,1368.58,2803.15,3450.86,5053.86,11817.57,20064.99,18614.59,23912.75
"D",30720.48,631.73,822.17,1942.99,2253.63,5452.77,17499.95,20950.68,23297.72,16642.33,19604.73,21718.41,28725.51,905.1,1579.64,2929.46,4439.52,4296.54,18334.33,21679.57,14695.94,20021.14
"E",21136.52,762.95,1874.77,3987.69,4476.89,7600.21,21512.55,23133.7,26313.13,21310.55,30223.72,27308.73,22171.66,1028.52,1801.54,5334.12,4949.59,8830.53,19403.02,25339.84,27258.02,25573.81
"F",19825.71,1330.67,2001.51,2508.41,3297.21,8128.53,22353.08,19767.16,25775.66,27252.73,28112.1,25144.47,27649.79,1206.04,2270.98,3492.2,4806.84,11547.4,19606.59,25192.88,24144.37,30487.33
"G",24529.79,1547.08,2963.49,3786.27,6384.32,11286.56,26306.09,29494.69,29841.28,29562.61,29498.17,27655.12,26907.72,1452.85,2623.8,5585.53,7019.97,13400.32,24528.08,31151.04,25701.39,24948.46
"H",29365.36,1692.65,3313.64,4211.19,7861.88,11666.89,24769.27,28262.9,27889.69,25907.36,28961.97,32038.31,27888.66,2060.25,3435.48,5636.83,5965.13,9005.58,26695.58,28781.45,29113.75,30551.47
"I",25210.66,2192.41,3729.18,5498.52,7917.49,14742.51,26603.23,25716.01,25849.96,28723.48,31488.97,31368.69,29074.75,2137.75,4568.98,5832.28,8778.65,15517.03,27577.24,29921.85,30182.84,28650.49
"J",27755.62,2436.23,3112.38,5637.89,7347.35,15666.06,27165.84,31441.77,30002.38,30225.26,30071.92,30887.21,28780.44,2098.19,4329.22,5986.77,9058.43,16548.34,27558.43,30143.04,31672.01,29788.72
"K",27300.82,2272.8,3696.38,6595.33,9104.54,17119.87,27936.59,31275.14,24265.02,33413.58,30247.8,30525.41,30790.83,2592.94,5510.8,7883.63,9435.91,17313.5,28658.03,27754.56,28944.67,27900.62
"L",31128.01,2860.09,6184.13,5979.17,7800.73,19281.9,27681.67,30627.55,29006.02,29569.42,27907.84,30107.72,25090.44,2882.67,6478.94,7749.77,10465.07,17593.42,26946.8,29781.52,29196.28,28624.96
"M",27394.58,3139.39,5718.24,6249,9743.28,18653.39,26931.13,27670.86,29863.98,29008.57,30599.08,28002.68,27670.76,3147.66,6057.61,6672.34,8224.86,16872.13,23883.34,29421.57,24232.91,31646.87
"N",21980.26,26874.65,26666.14,22205.08,27283.93,25556.09,29963.87,28491.81,30590.96,28660.68,28737.73,29226.76,28827.41,29216.36,28231.01,30630.62,27273.94,24460.13,29690.39,27767.34,27812.15,24600.43
"O",26257.97,22745.18,24776.48,28805.69,26852.7,29413.39,26218.88,20182.2,29819.64,32804.08,31384.94,31750.97,26672.36,31111.74,28902.04,30078.22,25000.15,29289.9,29901.34,28251.8,26271.21,29416
