"","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22","23"
"B",23518.49,25203.6,23319.43,26440.69,25908.71,26491.24,27915.75,24928.3,27407.44,25124.66,23056.73,22450.69,27255.97,24283.49,27106.74,27646.71,21730.63,26539.45,28711.67,25639.53,26108.57,18842.31
"C",20234.27,92.69,84.26,78.35,75.7,82.53,109.2,112.01,123.46,130.05,25056.3,20476.56,97.82,73.82,74.38,87.2,60.12,57.1,59.98,80.83,115.44,21070.63
"D",20185.11,150.26,105.34,87.65,83,73.84,77.98,153.15,104.93,184.77,18438.89,20743.11,202.16,92.94,68.74,124.39,47.24,55.47,113.54,135.75,134.46,21116.05
"E",19584.1,124.29,169.98,95,81.47,68.84,140.39,164.6,342.89,534.83,27392.76,25876.7,471.26,156.27,124.13,124.76,83.46,89.95,102.07,158.73,329.31,23490.26
"F",19014.47,223.63,206.23,149.87,148.64,101.63,108.44,809.58,823.01,1411.66,26500.01,28614.7,1679.05,257.69,246.37,125.01,129.67,129.85,159.26,789.16,1106.23,23350.25
"G",26752.26,415.47,369.96,231.92,218.19,159.89,225.61,831.76,2672.77,6685.75,28419.89,27139.93,5419.46,313.24,337.56,242.73,220.68,177.03,137.83,945.44,2687.59,27758.74
"H",23419.36,442.68,350.1,305.92,291.78,165.54,365.38,8367.05,16345.66,24467.3,27480.45,28025.03,24436.63,379.51,411.02,350.47,332.82,157.75,386.9,6591.34,13021,26237.94
"I",26730.88,445.23,501.81,499.09,351.83,205.29,1867.68,24973.41,23560.85,29252.71,28499.07,29569.73,26866.34,601.67,517.68,470.71,385.44,325.39,1735.44,23450.83,26620.78,27872.25
"J",24324.41,838.66,768.27,702.3,453.77,474.99,14844.67,25864.02,27752.97,27248,27118.31,25061.26,28658.44,865.98,809.82,696.01,459.45,281.34,12887.21,25592.29,27197.77,27579.76
"K",25813.82,754.28,596.54,462.79,348.36,357.13,9310.56,23201.42,28041.51,28860.43,29097.95,29177.36,28365.01,917.54,796.74,544.93,382.05,458.81,6399.7,26479.69,23610.51,22001.04
"L",23546.77,790.58,1048.2,530.75,698.64,596.14,11418.15,26038.7,24913.4,26584.3,28046.88,25902.53,28335.48,1074.06,786.35,641.23,550.36,819.04,17868.12,24346.59,24601.83,24646.48
"M",25226.07,1228.75,1402.59,1080.41,825.03,2214.01,20149.45,25713.38,27332.17,26667.43,20211.57,27339.58,28120.82,1371.23,1335.23,1167.86,653.01,2615.36,19275.09,25999.46,20604.52,26409.77
"N",19795.1,26306.15,26803.81,24855.99,20614.08,25196.24,27755.61,24149.52,25609.8,24965.76,24641.96,22801.14,27339.94,21309.06,25727.4,23499.53,24610.21,24714.81,27054.43,25860.67,21519.5,23310.35
"O",25121.83,24651.08,25318.93,26445.11,24022.23,25600.47,28782.54,29249.8,26649.81,25313.63,19872.84,28732.57,27384.96,27153.51,20178.06,29442.23,24947.04,24060.9,27229.77,25744.62,24319.49,25555.02
