"","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22","23"
"B",7361.54,8674.19,9057,9454.07,7789.45,5600.73,6495.39,8726.86,8135.12,6982.55,11647.27,6822.61,11506.62,7601.67,7547.97,8591.29,6098.44,7435.75,7624.67,7316.96,5686.75,8349.53
"C",6386.25,363.52,330.14,386.31,416.76,351.77,364.94,429.2,1049.91,1750.63,7211.97,5708.03,2167.25,411.09,334.31,363.08,304.08,348.27,433.22,382.88,705.81,3694.89
"D",2889.95,419.37,275.39,388.58,334.98,353.48,365.32,625.71,1243.24,1404.52,6360.19,5662.35,3464.7,419.33,341.45,445.32,421.28,415.14,280.81,552.83,1419.83,3848.68
"E",4117.81,345.38,367.36,415.89,496.74,485.58,483.38,2303.57,3421.4,3805.64,8732.87,8902.22,4499.93,394.63,407.06,502.8,529.5,451.06,500.66,1278.46,2303.57,5236.09
"F",4915.68,442.67,318.94,282.85,314.26,434.02,464.39,3213.06,2632.34,5813.86,8967.03,4486.68,5822.29,419.68,352.64,424.42,628.31,486.55,496.1,2228.11,3536.89,6104.15
"G",5977.66,321.17,477.51,605.07,539.38,643.4,637.86,4935.64,8175.48,5910.68,9848.12,8158.8,9428.66,661.31,520.68,656.7,559.54,612.31,991.21,4582.95,7774.8,7981.15
"H",6185.07,367.21,314.95,344.34,503.29,536.08,2021.92,8711.5,8935.31,10448.91,8408.84,11251.97,10993.79,436.13,427.55,629.54,476.13,639.42,1837.61,6674.24,6661.26,6419.45
"I",7831.63,612.61,542.96,600.06,716.43,1099.7,4256.54,12951.58,10669.07,12098.79,10058.5,10611.79,10583.29,568.05,553.6,742.86,660.81,1065.67,3742.97,10763.66,7268.67,7300.72
"J",9063.32,456.52,538.16,552.75,553.68,1391.73,5195.57,11735.78,12401.81,10350.99,10852.03,9306.97,11702.85,673.11,732.77,679.5,630.32,1678.22,5231.86,10537.39,9821.1,8900.19
"K",7038.88,763.85,417.11,649.73,619.04,1727.26,6365.25,10281.95,9285.77,11788.32,8878.06,7370.02,9691.11,750.93,589.16,693.81,915.05,1298.24,6002.88,11256.93,9911.54,7665.58
"L",8047.7,712.6,479.45,606.06,667.54,1453,4914.86,9701.81,9638.12,11819.16,7666.48,7983.56,10196.35,693.67,687.36,584.62,878.08,1295.1,6764.57,10845.43,11588.08,9617.57
"M",7064.84,766.55,401.69,563.61,665.78,1168.65,5232.71,10790.52,9328.57,8122.78,9685.26,8837.49,8838.07,615.76,431.14,614.22,668.65,1177.92,5110.68,8603.9,6724.31,7028.37
"N",6568.75,9779.39,8405.79,7524.62,6424.28,6384.99,8742.09,8218.86,7594.69,8299.99,8695.93,9814.2,11086.32,8108.32,9210.67,9123.4,10144.44,7574.2,11049.1,8234.32,6725.86,6294.58
"O",7751.13,9463.99,6365.97,8274.38,9488.9,6198.74,9685.13,8567.09,9363.58,8371.27,8198.13,11315.34,9050.94,8383.36,7730.14,9630.39,9812.03,9159.61,8853.79,8460.44,9056.6,8177.21
