"","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22","23"
"B",6901.98,6507.41,5276.86,6123.84,4592.78,6823.17,6928.18,4950.4,7727.47,6205.47,5250.2,4782.11,6323.1,6008.96,5667.95,5462.42,6888.02,5317.34,5019.68,5795.65,5751.04,4380.45
"C",4264.57,735.05,723.69,636.4,419.9,501.39,502.91,601.99,610.91,640.99,4395.95,8140.05,560.94,631.96,619.22,611.45,616.48,499.13,456.94,513.43,643.06,3985.69
"D",4118.44,652.9,502.06,613.39,633.22,401.65,517.35,520.97,512,477.71,3988.31,4208.13,339.06,881.83,642.42,528.31,678.27,482.9,431.67,507.88,433.4,4991.61
"E",4188.9,546.34,535.48,485.58,530.07,500.84,372.24,617.97,690.62,445.15,5589.9,5701.42,477.48,473.43,497.69,628.68,581.43,622.79,517.45,637.44,422.72,5921.71
"F",4813.09,502.02,681,577.7,746.98,601.03,418.96,750.22,562.69,516.51,4465.91,4067.26,682.11,718.58,702.81,600.76,654.45,581.44,683.31,766.78,677.69,5834.87
"G",5505.95,726.17,821.26,984.19,806.47,656.93,1029.42,746.69,839.15,1160.66,6655.92,6600.82,1119.39,893.69,937.11,844.91,889.46,938.71,1023.58,1009.85,833.45,5405.62
"H",5303.41,987.11,1181.9,1151.44,1367.21,1479.51,1510.11,1152.03,1498.41,1904.46,7259.63,6243.81,1948.13,1178.49,1160.67,1141.66,1165.05,1508.17,1250.74,1665.37,1630.4,6623.67
"I",5303.25,1315.65,1360.74,2008.22,2616.88,2319.92,2606.51,3555.22,4153.47,4411.07,8826.22,7299.67,4690.14,1589.68,1844.75,1985.49,2503.99,2961.59,2543.29,3144.03,3796.61,5447.04
"J",6018.96,1683.53,2134.09,1751.65,3010.87,3530.97,4986.43,6224.86,7011.33,7977.77,6773.34,5614.7,8620.53,1795.59,2185.25,2331.55,2912.77,3377.5,4906.94,5441.84,8090.04,4755.44
"K",5607.89,1761.75,1734.61,2016.32,3073.96,3897.79,6536.5,5594.02,9480.99,9617.27,5961.5,6292.05,10197.34,2126.15,2149.84,2699.85,2718.18,4676.77,5064.35,6609.24,8369.95,7254.14
"L",6634.05,2124.21,1601.89,2160.83,2592.2,3920.07,5893,5552.4,8610.51,10593.27,7460.84,6790.23,9898.71,2305.06,2514.27,2696.62,3287.68,4361.55,5657.68,7813.07,8034.13,6680.74
"M",6018.17,2122.98,1398.61,1972.23,2207.59,2755.76,3783.83,6178.27,5574.36,6412.25,6629.42,5897.01,5556.47,2336.59,1550.05,2283.85,2488.39,3497.31,5215.01,5006.18,5060.92,4379.19
"N",4661.99,4298.17,5663.43,4911.55,5540.55,3895.24,7220.83,8429.93,5464.52,7705.94,5252.17,5824.61,6321.47,5385.84,5968.1,6113.33,5544.56,6288.77,5757.91,5457.25,6965.05,7189.2
"O",4205.48,5097.14,5390.22,6528.12,6454.91,6731.81,6502.97,6365.49,6321.76,7096.31,3996.53,6356.63,6271.24,6402.23,7212.23,5793.57,7234.33,7423.38,6695.74,5887.5,6877.65,5825.52
