"","2","3","4","5","6","7","8","9","10","11","12","13"
"B",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,161160,NA
"C",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,168120,NA
"D",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,176560,NA
"E",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,170320,NA
"F",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,186000,NA
"G",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,179080,NA
"H",NA,NA,NA,NA,NA,NA,NA,NA,NA,177720,179240,179520
"I",48480,112560,104520,121520,116200,81120,132680,169200,175760,168160,178040,182320
"J",50680,79280,112360,140360,140960,64880,141680,172880,179440,170920,178640,NA
"K",51840,88320,116080,126960,146680,71120,133400,179960,189920,179480,169000,NA
"L",51880,57200,99880,114080,152040,55360,132720,162280,169520,180680,165320,NA
"M",57120,53640,47480,59920,57920,32800,72560,97720,97120,116200,170520,NA
"N",43720,53560,50280,56880,73840,45880,69480,71520,78240,80360,164880,NA
"O",10440,34800,36720,34040,40840,36240,46080,40960,46280,50360,154960,NA
