"","2","3","4","5","6","7","8","9","10","11","12"
"B",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,96360
"C",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,100600
"D",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,100800
"E",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,108920
"F",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,112080
"G",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,105560
"H",NA,NA,NA,NA,NA,NA,NA,NA,NA,118920,108280
"I",73560,88920,99720,113000,117760,118440,122680,132040,111760,120840,118960
"J",63520,85640,101760,106280,118440,120680,119920,119880,119080,115800,110680
"K",49080,72960,93080,100960,108040,113160,115000,115280,116960,116000,102640
"L",43840,55320,75800,97960,101880,105360,109520,106080,107360,103280,100160
"M",32960,51160,61240,76000,87360,89800,92600,93520,93880,92880,100840
"N",32400,41520,54080,68240,75600,75280,86080,82520,76480,78040,97320
"O",14640,38240,25480,29440,33360,34520,35560,35720,37200,36760,93560
