"","2","3","4","5","6","7","8","9","10","11","12","13"
"B",1440,1360,1640,3080,8200,18680,26640,29240,33440,35320,208120,NA
"C",2160,7400,7440,17480,32960,46520,54920,61800,70880,66720,220240,NA
"D",1880,3080,8720,18560,36280,53240,78680,94400,101320,106280,227320,NA
"E",3160,4960,8920,21640,36760,64600,127400,162960,162040,195920,215080,NA
"F",4160,7360,12600,26520,45600,86920,187160,211680,210440,230840,216080,NA
"G",8520,10080,18320,29800,44040,91600,186000,210480,215880,221960,203280,NA
"H",7480,12560,21880,34080,48320,82000,178760,207560,214840,215560,213000,211840
"I",NA,NA,NA,NA,NA,NA,NA,NA,NA,214320,206640,208720
"J",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,212000,NA
"K",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,212800,NA
"L",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,215680,NA
"M",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,214680,NA
"N",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,215160,NA
"O",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,200440,NA
