"","11","12","13","14","15","16","17","18","19","20","21","22"
"B",NA,164080,2520,2400,2200,1880,5640,44480,2080,920,1280,1360
"C",NA,166520,138040,130960,127000,121400,115800,88720,4240,760,680,1040
"D",NA,171120,173360,167680,163320,154760,146480,134720,4800,760,720,1000
"E",NA,160880,170880,174240,174000,162200,159560,122800,1960,680,640,1480
"F",NA,175360,175600,187360,176880,164040,160920,95560,7200,920,600,1160
"G",NA,162440,177920,168760,162800,158880,146040,121600,3040,1000,720,1200
"H",177160,170040,181960,182800,174800,163400,157720,111400,2720,1040,1560,1360
"I",175280,173280,173520,NA,NA,NA,NA,NA,NA,NA,NA,NA
"J",NA,166680,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"K",NA,168360,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"L",NA,173560,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"M",NA,170560,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"N",NA,178240,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"O",NA,166680,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
