"","2","3","4","5","6","7","8","9","10","11","12","13"
"B",72640,69960,71080,64880,75800,69240,64560,64840,71680,64880,145360,NA
"C",113120,114440,108360,110040,116640,115000,128800,127440,126160,116640,145840,NA
"D",112280,135120,123520,127640,129720,126840,127240,130800,128760,122440,140880,NA
"E",149160,152240,156440,153680,160400,156880,157160,157760,168080,167080,155880,NA
"F",146520,151800,146040,141040,166960,163400,155240,155920,173560,157920,155520,NA
"G",151000,154520,143360,148320,159280,150680,162920,153960,174200,165440,157280,NA
"H",158720,158760,138200,161480,165880,152440,177520,166600,167360,170760,157560,164360
"I",NA,NA,NA,NA,NA,NA,NA,NA,NA,167520,148760,151120
"J",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,147920,NA
"K",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,143840,NA
"L",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,136680,NA
"M",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,152080,NA
"N",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,139920,NA
"O",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,135600,NA
