"","11","12","13","14","15","16","17","18","19","20","21","22"
"B",NA,210200,33680,28920,21440,15000,5480,2320,1600,1320,1280,1800
"C",NA,211440,62040,51440,37760,32400,15640,6280,2360,1560,960,1600
"D",NA,216960,102920,81080,64200,42120,27920,13840,5200,3080,1520,1760
"E",NA,212280,174240,144480,120200,72880,38680,21480,7880,3320,2320,2720
"F",NA,207320,213240,210000,196560,148800,77680,32160,15840,6760,3360,3440
"G",NA,207040,200040,204480,192240,140600,84200,31640,18160,8760,5360,5160
"H",211400,209880,202080,210880,191040,143960,75960,33000,19960,12320,6800,6520
"I",208600,214760,212280,NA,NA,NA,NA,NA,NA,NA,NA,NA
"J",NA,201080,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"K",NA,192320,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"L",NA,207640,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"M",NA,202240,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"N",NA,207120,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"O",NA,201480,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
