"","2","3","4","5","6","7","8","9","10","11","12"
"B",43760,43880,45400,51440,48080,50520,54640,48640,48400,49840,241360
"C",59800,75560,72440,77480,75640,75360,88080,83440,83720,103840,275480
"D",108680,130800,130200,142760,157440,149840,159320,169680,177120,183480,239800
"E",125840,134440,145920,162760,172640,173880,178560,185400,204080,232760,282480
"F",152920,161280,181720,178120,187000,200360,224280,254800,264080,238240,296680
"G",147920,162880,173680,186360,176200,208840,224760,223920,225560,254520,289120
"H",151200,167560,173840,187160,193680,198320,210080,210040,226880,283880,297680
"I",NA,NA,NA,NA,NA,NA,NA,NA,NA,265760,304760
"J",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,281000
"K",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,256880
"L",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,279520
"M",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,242720
"N",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,229520
"O",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,221360
