"","2","3","4","5","6","7","8","9","10","11","12","13"
"B",2040,66400,12520,5520,6320,4320,5320,3880,4400,6000,146400,NA
"C",1880,91600,107520,127280,147440,157480,160840,168520,164880,94400,186720,NA
"D",2000,99840,106800,129960,153800,174280,180000,183560,182800,189080,189240,NA
"E",4120,91200,100880,115160,155160,184960,181320,197000,193800,193000,199680,NA
"F",6320,1e+05,94760,127480,163360,187440,181680,194080,193520,195200,187640,NA
"G",8040,109000,94200,136640,161960,178680,186760,191560,190640,188200,205640,NA
"H",2960,100080,108720,130200,152040,170600,173480,177120,171440,178400,169800,166920
"I",NA,NA,NA,NA,NA,NA,NA,NA,NA,199000,194400,194160
"J",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,176000,NA
"K",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,189600,NA
"L",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,98000,NA
"M",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,188480,NA
"N",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,186600,NA
"O",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,180400,NA
