"","2","3","4","5","6","7","8","9","10","11","12","13"
"B",2360,10440,22880,34960,50000,61480,68200,74520,75120,72360,167680,NA
"C",5680,37840,65760,78640,91000,129760,143000,166880,162360,163720,174560,NA
"D",4960,43680,72120,79760,95840,130800,151080,164920,161440,167440,177480,NA
"E",3800,39920,70040,81840,102920,130480,155000,172400,184400,183160,185600,NA
"F",3560,46080,77200,89480,111480,145960,170760,190640,197400,187760,198320,NA
"G",4000,49680,77280,88160,120000,144440,164600,170600,176880,181320,171200,NA
"H",4160,48880,80280,100480,118840,151600,176120,186360,195040,186600,195320,193720
"I",NA,NA,NA,NA,NA,NA,NA,NA,NA,186200,192280,191960
"J",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,174680,NA
"K",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,177520,NA
"L",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,165400,NA
"M",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,168280,NA
"N",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,161320,NA
"O",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,180200,NA
